序号,竞赛名称,加分细则
A1,中国国际“互联网+”大学生创新创业大赛,"国赛金/银/铜奖排前4位(加10/2/2分)金奖第5~8名和银奖铜奖第5~8加2分,省赛金/银奖前8加1.5/1"
A2,“挑战杯”全国大学生课外学术科技作品竞赛,"国赛1/2/3等奖排前4位(加10/2/2分)一等奖第5~8名和二/三等奖第5~8加2分,省赛1/2等奖前8加1.5/1"
A3,“挑战杯”中国大学生创业计划竞赛,"国赛1/2/3等奖排前4位(加10/2/2分)一等奖第5~8名和二/三等奖第5~8加2分,省赛1/2等奖前8加1.5/1"
B1,ACM-ICPC国际大学生程序设计竞赛,"区域赛金/银/铜奖加5/3/2分,邀请赛金/银/铜奖3/2/1,省赛金/银奖加0.8/0.5"
B2,全国大学生计算机系统能力大赛,"国赛1/2/3等奖加5/3/2分,国赛优胜奖加1分,区域赛一/二等奖加0.8/0.5,多赛道可叠加"
B3,蓝桥杯全国软件和信息技术专业人才大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5 "
B4,百度之星·程序设计大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B5,“中国软件杯”大学生软件设计大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B6,全国校园人工智能算法精英大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B7,中国机器人及人工智能大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B8,全国大学生物联网设计竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B9,全国大学生信息安全竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B10,全国大学生信息安全与对抗技术竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B11,睿抗机器人开发者大赛(RAICOM),"CAIP赛道1/2/3等加2/1.5/1分,省赛1/2等奖加0.8/0.5,其他与计算机相关1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B12,中国高校计算机大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B13,华为ICT大赛,"全球赛5分,国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B14,全国大学生机器人大赛—①RoboMaster、②RoboCon,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5,多赛道可叠加"
B15,中国大学生服务外包创新创业大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B16,中国大学生计算机设计大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B17,全国大学生嵌入式芯片与系统设计竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B18,“大唐杯”全国大学生新一代信息通信技术大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B19,中国机器人大赛暨RoboCup机器人世界杯中国赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B20,全国大学生光电设计竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B21,全国大学生集成电路创新创业大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B22,微软"创新杯"全球学生科技大赛,"全球赛5分,国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B23,中美青年创客大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B24,中国大学生工程实践与创新能力大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B25,全国大学生智能汽车竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B26,中国高校智能机器人创意大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B27,全国大学生数学建模竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B28,全国大学生数学竞赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B29,外研社全国大学生英语系列赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B30,“21世纪杯”全国英语演讲比赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B31,“外教社杯”全国高校学生跨文化能力大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B32,全国大学生电子商务“创新、创意及创业”挑战赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
B33,全国三维数字化创新设计大赛,"国赛1/2/3等奖加4/2/1分,省赛1/2等奖加0.8/0.5"
