itemset,support
"UHT-milk,bottled water",0.007320793085917641
"other vegetables,UHT-milk",0.00813421453990849
"UHT-milk,rolls/buns",0.006405693950177936
"UHT-milk,soda",0.007625826131164209
"UHT-milk,yogurt",0.007422470767666497
"other vegetables,baking powder",0.007320793085917641
"whole milk,baking powder",0.009252669039145907
"beef,bottled water",0.0062023385866802234
"beef,butter",0.005795627859684799
"beef,citrus fruit",0.008439247585155059
"domestic eggs,beef",0.005998983223182512
"fruit/vegetable juice,beef",0.005083884087442806
"beef,margarine",0.0062023385866802234
"newspapers,beef",0.006405693950177936
"other vegetables,beef",0.019725470259278087
"beef,pastry",0.00630401626842908
"beef,pork",0.007625826131164209
"beef,rolls/buns",0.01362480935434672
"beef,root vegetables",0.017386883579054397
"sausage,beef",0.005592272496187087
"beef,soda",0.00813421453990849
"tropical fruit,beef",0.007625826131164209
"whipped/sour cream,beef",0.006710726995424504
"beef,whole milk",0.02125063548551093
"beef,yogurt",0.011692933401118455
"berries,citrus fruit",0.005388917132689374
"berries,other vegetables",0.010269445856634469
"berries,rolls/buns",0.0066090493136756485
"berries,root vegetables",0.0066090493136756485
"berries,soda",0.007320793085917641
"berries,tropical fruit",0.006710726995424504
"berries,whipped/sour cream",0.009049313675648195
"berries,whole milk",0.01179461108286731
"berries,yogurt",0.010574478901881037
"beverages,other vegetables",0.005185561769191663
"beverages,rolls/buns",0.005388917132689374
"beverages,whole milk",0.00681240467717336
"beverages,yogurt",0.005490594814438231
"bottled water,bottled beer",0.0157600406710727
"brown bread,bottled beer",0.005185561769191663
"bottled beer,butter",0.005795627859684799
"citrus fruit,bottled beer",0.006100660904931368
"bottled beer,frankfurter",0.005388917132689374
"fruit/vegetable juice,bottled beer",0.007015760040671073
"bottled beer,margarine",0.006100660904931368
"napkins,bottled beer",0.005185561769191663
"other vegetables,bottled beer",0.016166751398068124
"bottled beer,pip fruit",0.005897305541433655
"bottled beer,pork",0.005185561769191663
"bottled beer,rolls/buns",0.01362480935434672
"bottled beer,root vegetables",0.009659379766141332
"sausage,bottled beer",0.007829181494661922
"shopping bags,bottled beer",0.005592272496187087
"soda,bottled beer",0.016980172852058974
"tropical fruit,bottled beer",0.008235892221657347
"whole milk,bottled beer",0.02043721403152008
"bottled beer,yogurt",0.009252669039145907
"brown bread,bottled water",0.008235892221657347
"bottled water,butter",0.008947635993899338
"bottled water,canned beer",0.008032536858159633
"chicken,bottled water",0.0052872394509405184
"chocolate,bottled water",0.005795627859684799
"bottled water,citrus fruit",0.013523131672597865
"bottled water,coffee",0.007320793085917641
"cream cheese,bottled water",0.005897305541433655
"curd,bottled water",0.006100660904931368
"dessert,bottled water",0.005185561769191663
"domestic eggs,bottled water",0.009150991357397052
"bottled water,frankfurter",0.007320793085917641
"frozen vegetables,bottled water",0.0062023385866802234
"fruit/vegetable juice,bottled water",0.014234875444839857
"hygiene articles,bottled water",0.0056939501779359435
"bottled water,margarine",0.010269445856634469
"misc. beverages,bottled water",0.0052872394509405184
"bottled water,napkins",0.00864260294865277
"newspapers,bottled water",0.01128622267412303
"bottled water,onions",0.005897305541433655
"other vegetables,bottled water",0.024809354346720894
"bottled water,pastry",0.008947635993899338
"bottled water,pip fruit",0.010574478901881037
"bottled water,pork",0.007422470767666497
"bottled water,rolls/buns",0.024199288256227757
"bottled water,root vegetables",0.015658362989323844
"sausage,bottled water",0.011997966446365024
"shopping bags,bottled water",0.010981189628876462
"bottled water,soda",0.028978139298423997
"tropical fruit,bottled water",0.018505338078291814
"whipped/sour cream,bottled water",0.008744280630401627
"bottled water,whole milk",0.03436705643111337
"bottled water,yogurt",0.022979156075241484
"brown bread,butter",0.005795627859684799
"brown bread,citrus fruit",0.008337569903406202
"domestic eggs,brown bread",0.00681240467717336
"brown bread,frankfurter",0.0071174377224199285
"brown bread,fruit/vegetable juice",0.008337569903406202
"brown bread,margarine",0.006507371631926792
"brown bread,newspapers",0.007625826131164209
"other vegetables,brown bread",0.018708693441789527
"brown bread,pastry",0.009659379766141332
"brown bread,pip fruit",0.007625826131164209
"brown bread,pork",0.005592272496187087
"brown bread,rolls/buns",0.01260803253685816
"brown bread,root vegetables",0.010167768174885612
"sausage,brown bread",0.010676156583629894
"shopping bags,brown bread",0.009252669039145907
"brown bread,soda",0.01260803253685816
"tropical fruit,brown bread",0.010676156583629894
"brown bread,whole milk",0.02521606507371632
"brown bread,yogurt",0.014539908490086425
"chicken,butter",0.005795627859684799
"chocolate,butter",0.0062023385866802234
"citrus fruit,butter",0.009150991357397052
"curd,butter",0.00681240467717336
"domestic eggs,butter",0.009659379766141332
"frozen vegetables,butter",0.005795627859684799
"fruit/vegetable juice,butter",0.008032536858159633
"margarine,butter",0.006710726995424504
"newspapers,butter",0.005795627859684799
"other vegetables,butter",0.020030503304524657
"pastry,butter",0.007625826131164209
"pip fruit,butter",0.007320793085917641
"pork,butter",0.005490594814438231
"rolls/buns,butter",0.013421453990849009
"root vegetables,butter",0.012913065582104729
"sausage,butter",0.00864260294865277
"soda,butter",0.008845958312150484
"tropical fruit,butter",0.0099644128113879
"whipped/sour cream,butter",0.010167768174885612
"whole milk,butter",0.02755465175394001
"yogurt,butter",0.014641586171835282
"other vegetables,butter milk",0.010371123538383325
"butter milk,pip fruit",0.005083884087442806
"butter milk,rolls/buns",0.007625826131164209
"butter milk,root vegetables",0.005083884087442806
"tropical fruit,butter milk",0.005490594814438231
"butter milk,whole milk",0.011591255719369599
"butter milk,yogurt",0.008540925266903915
"cake bar,whole milk",0.005592272496187087
"other vegetables,candy",0.006914082358922217
"candy,rolls/buns",0.0071174377224199285
"soda,candy",0.00864260294865277
"tropical fruit,candy",0.005388917132689374
"whole milk,candy",0.008235892221657347
"candy,yogurt",0.005490594814438231
"other vegetables,canned beer",0.009049313675648195
"rolls/buns,canned beer",0.01128622267412303
"sausage,canned beer",0.00630401626842908
"shopping bags,canned beer",0.011387900355871887
"soda,canned beer",0.013828164717844434
"whole milk,canned beer",0.008845958312150484
"yogurt,canned beer",0.005388917132689374
"other vegetables,canned fish",0.005083884087442806
"other vegetables,cat food",0.006507371631926792
"cat food,whole milk",0.008845958312150484
"cat food,yogurt",0.0062023385866802234
"soda,chewing gum",0.005388917132689374
"whole milk,chewing gum",0.005083884087442806
"chicken,citrus fruit",0.006914082358922217
"domestic eggs,chicken",0.0062023385866802234
"frozen vegetables,chicken",0.006710726995424504
"chicken,newspapers",0.005185561769191663
"chicken,other vegetables",0.017895271987798677
"chicken,pork",0.005795627859684799
"chicken,rolls/buns",0.009659379766141332
"chicken,root vegetables",0.010879511947127605
"chicken,sausage",0.0052872394509405184
"chicken,soda",0.008337569903406202
"chicken,tropical fruit",0.006405693950177936
"chicken,whipped/sour cream",0.007219115404168785
"chicken,whole milk",0.01759023894255211
"chicken,yogurt",0.008337569903406202
"chocolate,citrus fruit",0.006405693950177936
"fruit/vegetable juice,chocolate",0.00681240467717336
"chocolate,long life bakery product",0.0052872394509405184
"newspapers,chocolate",0.005490594814438231
"other vegetables,chocolate",0.012709710218607015
"chocolate,pastry",0.008032536858159633
"chocolate,pip fruit",0.006100660904931368
"chocolate,rolls/buns",0.01179461108286731
"chocolate,root vegetables",0.006405693950177936
"sausage,chocolate",0.0066090493136756485
"shopping bags,chocolate",0.00813421453990849
"chocolate,soda",0.013523131672597865
"tropical fruit,chocolate",0.00813421453990849
"chocolate,waffles",0.005795627859684799
"chocolate,whole milk",0.016675139806812404
"chocolate,yogurt",0.009252669039145907
"citrus fruit,coffee",0.006405693950177936
"cream cheese,citrus fruit",0.0056939501779359435
"curd,citrus fruit",0.0071174377224199285
"domestic eggs,citrus fruit",0.010371123538383325
"citrus fruit,frankfurter",0.006507371631926792
"frozen vegetables,citrus fruit",0.0066090493136756485
"fruit/vegetable juice,citrus fruit",0.010371123538383325
"hygiene articles,citrus fruit",0.0052872394509405184
"citrus fruit,margarine",0.007930859176410779
"napkins,citrus fruit",0.007625826131164209
"newspapers,citrus fruit",0.008337569903406202
"citrus fruit,onions",0.005592272496187087
"other vegetables,citrus fruit",0.02887646161667514
"citrus fruit,pastry",0.009761057447890189
"citrus fruit,pip fruit",0.013828164717844434
"citrus fruit,pork",0.006507371631926792
"citrus fruit,rolls/buns",0.01677681748856126
"citrus fruit,root vegetables",0.017691916624300967
"sausage,citrus fruit",0.01128622267412303
"shopping bags,citrus fruit",0.009761057447890189
"soda,citrus fruit",0.012811387900355872
"tropical fruit,citrus fruit",0.0199288256227758
"whipped/sour cream,citrus fruit",0.010879511947127605
"whole milk,citrus fruit",0.030503304524656837
"citrus fruit,yogurt",0.021657346212506354
"coffee,frankfurter",0.005083884087442806
"fruit/vegetable juice,coffee",0.005998983223182512
"other vegetables,coffee",0.013421453990849009
"pastry,coffee",0.006914082358922217
"pip fruit,coffee",0.006914082358922217
"rolls/buns,coffee",0.010981189628876462
"coffee,root vegetables",0.007320793085917641
"sausage,coffee",0.006914082358922217
"shopping bags,coffee",0.009354346720894764
"soda,coffee",0.0099644128113879
"tropical fruit,coffee",0.0071174377224199285
"whipped/sour cream,coffee",0.006100660904931368
"whole milk,coffee",0.018708693441789527
"coffee,yogurt",0.009761057447890189
"cream cheese,curd",0.005083884087442806
"cream cheese,domestic eggs",0.005083884087442806
"cream cheese,fruit/vegetable juice",0.0056939501779359435
"cream cheese,other vegetables",0.013726487036095577
"cream cheese,pip fruit",0.006100660904931368
"cream cheese,rolls/buns",0.0099644128113879
"cream cheese,root vegetables",0.0075241484494153535
"cream cheese,sausage",0.005592272496187087
"cream cheese,shopping bags",0.005592272496187087
"cream cheese,soda",0.00681240467717336
"cream cheese,tropical fruit",0.007219115404168785
"cream cheese,whipped/sour cream",0.006405693950177936
"cream cheese,whole milk",0.016471784443314694
"cream cheese,yogurt",0.012404677173360447
"dessert,curd",0.005185561769191663
"domestic eggs,curd",0.006507371631926792
"curd,margarine",0.00630401626842908
"newspapers,curd",0.0056939501779359435
"other vegetables,curd",0.017183528215556684
"curd,pastry",0.0075241484494153535
"curd,pip fruit",0.007829181494661922
"curd,rolls/buns",0.010066090493136757
"curd,root vegetables",0.010879511947127605
"sausage,curd",0.007625826131164209
"shopping bags,curd",0.005388917132689374
"curd,soda",0.00813421453990849
"tropical fruit,curd",0.010269445856634469
"whipped/sour cream,curd",0.01047280122013218
"curd,whole milk",0.026131164209456024
"curd,yogurt",0.01728520589730554
"dessert,fruit/vegetable juice",0.005998983223182512
"dessert,other vegetables",0.011591255719369599
"dessert,pastry",0.005388917132689374
"dessert,rolls/buns",0.00681240467717336
