itemset,support
"bottled water,UHT-milk",0.007320793085917641
"UHT-milk,other vegetables",0.00813421453990849
"UHT-milk,rolls/buns",0.006405693950177936
"UHT-milk,soda",0.007625826131164209
"yogurt,UHT-milk",0.007422470767666497
"baking powder,other vegetables",0.007320793085917641
"baking powder,whole milk",0.009252669039145907
"bottled water,beef",0.0062023385866802234
"butter,beef",0.005795627859684799
"citrus fruit,beef",0.008439247585155059
"domestic eggs,beef",0.005998983223182512
"beef,fruit/vegetable juice",0.005083884087442806
"margarine,beef",0.0062023385866802234
"newspapers,beef",0.006405693950177936
"beef,other vegetables",0.019725470259278087
"pastry,beef",0.00630401626842908
"pork,beef",0.007625826131164209
"rolls/buns,beef",0.01362480935434672
"root vegetables,beef",0.017386883579054397
"sausage,beef",0.005592272496187087
"soda,beef",0.00813421453990849
"tropical fruit,beef",0.007625826131164209
"whipped/sour cream,beef",0.006710726995424504
"whole milk,beef",0.02125063548551093
"yogurt,beef",0.011692933401118455
"citrus fruit,berries",0.005388917132689374
"berries,other vegetables",0.010269445856634469
"berries,rolls/buns",0.0066090493136756485
"root vegetables,berries",0.0066090493136756485
"berries,soda",0.007320793085917641
"tropical fruit,berries",0.006710726995424504
"berries,whipped/sour cream",0.009049313675648195
"whole milk,berries",0.01179461108286731
"yogurt,berries",0.010574478901881037
"beverages,other vegetables",0.005185561769191663
"beverages,rolls/buns",0.005388917132689374
"whole milk,beverages",0.00681240467717336
"yogurt,beverages",0.005490594814438231
"bottled water,bottled beer",0.0157600406710727
"bottled beer,brown bread",0.005185561769191663
"butter,bottled beer",0.005795627859684799
"bottled beer,citrus fruit",0.006100660904931368
"frankfurter,bottled beer",0.005388917132689374
"bottled beer,fruit/vegetable juice",0.007015760040671073
"bottled beer,margarine",0.006100660904931368
"bottled beer,napkins",0.005185561769191663
"bottled beer,other vegetables",0.016166751398068124
"bottled beer,pip fruit",0.005897305541433655
"bottled beer,pork",0.005185561769191663
