itemset,support
berries,0.033248601931875954
hamburger meat,0.033248601931875954
turkey,0.00813421453990849
shopping bags,0.09852567361464158
frankfurter,0.058973055414336555
house keeping products,0.008337569903406202
flower (seeds),0.010371123538383325
roll products,0.010269445856634469
dishes,0.01759023894255211
rolls/buns,0.18393492628368074
red/blush wine,0.019217081850533807
specialty cheese,0.008540925266903915
canned vegetables,0.010777834265378749
condensed milk,0.010269445856634469
butter milk,0.027961362480935434
beef,0.05246568378240976
brown bread,0.06487036095577021
specialty chocolate,0.03040162684290798
long life bakery product,0.037417386883579054
waffles,0.038434163701067614
herbs,0.01626842907981698
pasta,0.015048296898830707
grapes,0.022369089984748347
zwieback,0.006914082358922217
liver loaf,0.005083884087442806
onions,0.031011692933401117
canned beer,0.07768174885612608
softener,0.005490594814438231
white bread,0.042094560244026434
chocolate,0.04961870869344179
sparkling wine,0.005592272496187087
misc. beverages,0.02836807320793086
cake bar,0.013218098627351297
liquor,0.011082867310625319
pastry,0.08896797153024912
pip fruit,0.07564819522114896
butter,0.05541433655312659
Instant food products,0.008032536858159633
spices,0.005185561769191663
frozen vegetables,0.04809354346720895
tropical fruit,0.10493136756481952
sausage,0.09395017793594305
cleaner,0.005083884087442806
oil,0.02806304016268429
frozen dessert,0.010777834265378749
yogurt,0.13950177935943062
sauces,0.005490594814438231
root vegetables,0.10899847483477376
instant coffee,0.007422470767666497
cat food,0.023284189120488054
frozen potato products,0.008439247585155059
salt,0.010777834265378749
photo/film,0.009252669039145907
chicken,0.04290798169801729
bottled water,0.11052364006100661
dog food,0.008540925266903915
frozen fish,0.011692933401118455
seasonal products,0.014234875444839857
soups,0.00681240467717336
dental care,0.005795627859684799
bottled beer,0.08052872394509406
spread cheese,0.011184544992374174
whipped/sour cream,0.07168276563294357
white wine,0.019013726487036097
ham,0.026029486527707167
popcorn,0.007219115404168785
kitchen towels,0.005998983223182512
dish cleaner,0.01047280122013218
whole milk,0.25551601423487547
chocolate marshmallow,0.009049313675648195
rice,0.007625826131164209
salty snack,0.03782409761057448
newspapers,0.07981698017285206
soda,0.17437722419928825
sugar,0.03385866802236909
soft cheese,0.01708185053380783
specialty bar,0.027351296390442297
flour,0.017386883579054397
baking powder,0.017691916624300967
candles,0.008947635993899338
packaged fruit/vegetables,0.013014743263853584
mustard,0.011997966446365024
pork,0.05765124555160142
cereals,0.0056939501779359435
domestic eggs,0.06344687341128623
jam,0.005388917132689374
pet care,0.00945602440264362
ice cream,0.025012709710218607
frozen meals,0.02836807320793086
cream cheese,0.03965429588205389
UHT-milk,0.03345195729537367
candy,0.0298932384341637
other vegetables,0.1934926283680732
fruit/vegetable juice,0.0722928317234367
curd cheese,0.005083884087442806
pot plants,0.01728520589730554
detergent,0.019217081850533807
hard cheese,0.024504321301474327
margarine,0.05856634468734113
meat,0.025826131164209457
cling film/bags,0.011387900355871887
hygiene articles,0.03294356888662939
curd,0.05327910523640061
sweet spreads,0.009049313675648195
beverages,0.026029486527707167
processed cheese,0.016573462125063547
sliced cheese,0.024504321301474327
vinegar,0.006507371631926792
dessert,0.03711235383833249
finished products,0.006507371631926792
canned fish,0.015048296898830707
semi-finished bread,0.017691916624300967
napkins,0.05236400610066091
female sanitary products,0.006100660904931368
pickled vegetables,0.017895271987798677
mayonnaise,0.009150991357397052
citrus fruit,0.08276563294356888
chewing gum,0.021047280122013217
liquor (appetizer),0.007930859176410779
coffee,0.05805795627859685
Total Frequent Itemsets: 120
