Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4097,0.4986,1.2144,0.5677
2,1.1480,0.5945,1.0652,0.6263
3,1.0603,0.6283,0.9645,0.6666
4,1.0095,0.6473,0.9090,0.6856
5,0.9730,0.6604,0.9114,0.6887
6,0.9377,0.6722,0.9237,0.6760
7,0.9079,0.6810,0.8303,0.7148
8,0.8829,0.6900,0.8342,0.7116
9,0.8587,0.7001,0.8117,0.7202
10,0.8450,0.7056,0.8154,0.7171
11,0.8249,0.7120,0.8590,0.6980
12,0.8111,0.7160,0.8460,0.7053
13,0.7958,0.7218,0.7974,0.7262
14,0.7853,0.7244,0.7595,0.7374
15,0.7759,0.7298,0.7792,0.7321
16,0.7640,0.7331,0.7498,0.7383
17,0.7479,0.7371,0.7507,0.7398
18,0.7399,0.7430,0.7367,0.7486
19,0.7342,0.7441,0.7572,0.7415
20,0.7234,0.7469,0.7714,0.7358
21,0.7164,0.7475,0.7252,0.7520
22,0.7115,0.7515,0.8220,0.7173
23,0.7034,0.7530,0.7165,0.7519
24,0.6923,0.7576,0.7196,0.7529
25,0.6860,0.7590,0.7382,0.7447
26,0.6827,0.7589,0.7036,0.7585
27,0.6764,0.7628,0.6859,0.7616
28,0.6715,0.7646,0.7471,0.7434
29,0.6659,0.7661,0.7438,0.7421
30,0.6583,0.7687,0.6924,0.7577
31,0.6549,0.7684,0.6814,0.7643
32,0.6459,0.7723,0.6889,0.7632
33,0.6488,0.7734,0.6788,0.7656
34,0.6339,0.7784,0.7068,0.7568
35,0.6346,0.7770,0.7057,0.7618
36,0.6329,0.7764,0.6854,0.7628
37,0.6225,0.7814,0.6795,0.7663
38,0.6197,0.7812,0.6835,0.7663
39,0.6156,0.7839,0.6733,0.7663
40,0.6153,0.7815,0.7321,0.7509
41,0.6088,0.7871,0.6818,0.7642
42,0.6043,0.7871,0.6962,0.7590
43,0.6056,0.7873,0.7564,0.7453
44,0.6020,0.7871,0.7747,0.7421
45,0.5967,0.7905,0.7144,0.7630
46,0.5890,0.7915,0.7033,0.7588
47,0.5892,0.7931,0.6829,0.7667
48,0.5788,0.7969,0.6919,0.7638
49,0.5808,0.7941,0.6863,0.7656
50,0.5816,0.7939,0.6744,0.7705

Final Train Accuracy: 0.7939
Final Test Accuracy: 0.7705
