Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4395,0.4868,1.1240,0.6110
2,1.1486,0.5941,0.9777,0.6587
3,1.0491,0.6301,0.9210,0.6777
4,0.9847,0.6544,0.8551,0.7013
5,0.9383,0.6698,0.8606,0.7004
6,0.8965,0.6825,0.8191,0.7174
7,0.8626,0.6968,0.8328,0.7092
8,0.8343,0.7072,0.7845,0.7254
9,0.8066,0.7189,0.7785,0.7298
10,0.7899,0.7221,0.7326,0.7445
11,0.7756,0.7289,0.7626,0.7335
12,0.7548,0.7348,0.7152,0.7566
13,0.7378,0.7417,0.7218,0.7523
14,0.7276,0.7447,0.6999,0.7582
15,0.7135,0.7521,0.7034,0.7557
16,0.7006,0.7562,0.6944,0.7600
17,0.6918,0.7564,0.7919,0.7236
18,0.6755,0.7646,0.7021,0.7595
19,0.6642,0.7684,0.6777,0.7641
20,0.6551,0.7712,0.6983,0.7576
21,0.6475,0.7732,0.7115,0.7535
22,0.6385,0.7743,0.7659,0.7342
23,0.6323,0.7777,0.6851,0.7620
24,0.6309,0.7782,0.6938,0.7578
25,0.6172,0.7852,0.7195,0.7503
26,0.6109,0.7850,0.6963,0.7591
27,0.6083,0.7860,0.6814,0.7664
28,0.6001,0.7897,0.6815,0.7659
29,0.5986,0.7892,0.6772,0.7662
30,0.5893,0.7927,0.7544,0.7390
31,0.5818,0.7942,0.6898,0.7634
32,0.5804,0.7964,0.6661,0.7707
33,0.5748,0.7984,0.6746,0.7696
34,0.5683,0.8015,0.6600,0.7748
35,0.5644,0.8032,0.6670,0.7708
36,0.5646,0.8042,0.6627,0.7736
37,0.5579,0.8033,0.6744,0.7693
38,0.5538,0.8067,0.7022,0.7595
39,0.5514,0.8068,0.6889,0.7638
40,0.5522,0.8063,0.6505,0.7751
41,0.5469,0.8090,0.6597,0.7762
42,0.5354,0.8111,0.6804,0.7661
43,0.5400,0.8102,0.6634,0.7715
44,0.5343,0.8109,0.6638,0.7737
45,0.5309,0.8141,0.6613,0.7751
46,0.5322,0.8120,0.6783,0.7702
47,0.5249,0.8158,0.7007,0.7624
48,0.5242,0.8151,0.6658,0.7689
49,0.5302,0.8160,0.6587,0.7728
50,0.5160,0.8171,0.6650,0.7710

Final Train Accuracy: 0.8171
Final Test Accuracy: 0.7710
