Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4154,0.4966,1.1336,0.5934
2,1.1347,0.5980,1.0080,0.6462
3,1.0378,0.6348,0.8986,0.6865
4,0.9721,0.6581,0.8473,0.7072
5,0.9273,0.6740,0.8282,0.7127
6,0.8852,0.6889,0.7897,0.7262
7,0.8506,0.7007,0.8115,0.7198
8,0.8228,0.7124,0.7615,0.7324
9,0.8001,0.7188,0.7659,0.7323
10,0.7779,0.7265,0.7608,0.7349
11,0.7587,0.7296,0.7317,0.7451
12,0.7409,0.7382,0.7153,0.7508
13,0.7244,0.7446,0.7145,0.7528
14,0.7011,0.7533,0.8068,0.7207
15,0.6939,0.7567,0.6959,0.7577
16,0.6811,0.7599,0.8460,0.7102
17,0.6691,0.7646,0.6912,0.7592
18,0.6604,0.7683,0.6853,0.7650
19,0.6514,0.7708,0.7001,0.7592
20,0.6360,0.7772,0.6882,0.7621
21,0.6279,0.7791,0.6709,0.7709
22,0.6188,0.7821,0.6737,0.7679
23,0.6102,0.7863,0.6672,0.7716
24,0.6046,0.7853,0.7020,0.7560
25,0.5969,0.7884,0.6822,0.7632
26,0.5844,0.7942,0.7486,0.7445
27,0.5799,0.7967,0.6565,0.7780
28,0.5783,0.7967,0.6555,0.7769
29,0.5765,0.7979,0.6545,0.7739
30,0.5660,0.8010,0.6666,0.7705
31,0.5589,0.8041,0.7003,0.7581
32,0.5515,0.8071,0.7421,0.7464
33,0.5467,0.8079,0.6645,0.7736
34,0.5421,0.8095,0.6910,0.7647
35,0.5372,0.8114,0.6525,0.7725
36,0.5450,0.8078,0.6627,0.7732
37,0.5334,0.8105,0.6700,0.7723
38,0.5305,0.8138,0.6477,0.7768
39,0.5220,0.8165,0.6909,0.7648
40,0.5159,0.8184,0.7053,0.7615
41,0.5191,0.8174,0.7072,0.7603
42,0.5119,0.8204,0.6547,0.7786
43,0.5145,0.8170,0.6501,0.7748
44,0.5057,0.8218,0.6649,0.7737
45,0.5062,0.8223,0.7035,0.7632
46,0.5004,0.8225,0.6838,0.7664
47,0.5016,0.8226,0.6635,0.7780
48,0.4934,0.8241,0.6922,0.7700
49,0.4913,0.8248,0.6867,0.7707
50,0.4898,0.8262,0.7754,0.7421

Final Train Accuracy: 0.8262
Final Test Accuracy: 0.7421
