Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8543,0.3363,1.5610,0.4554
2,1.5517,0.4450,1.3516,0.5200
3,1.4087,0.4985,1.2199,0.5724
4,1.3025,0.5395,1.1289,0.6051
5,1.2297,0.5685,1.0665,0.6294
6,1.1768,0.5874,1.0271,0.6435
7,1.1412,0.5993,1.0358,0.6402
8,1.1095,0.6118,0.9909,0.6537
9,1.0800,0.6208,0.9753,0.6548
10,1.0600,0.6299,0.9312,0.6803
11,1.0380,0.6382,0.9045,0.6837
12,1.0216,0.6441,0.8909,0.6915
13,1.0054,0.6488,0.8965,0.6853
14,0.9865,0.6563,0.9354,0.6693
15,0.9786,0.6591,0.9041,0.6833
16,0.9669,0.6656,0.8673,0.6977
17,0.9513,0.6700,0.8485,0.7046
18,0.9402,0.6728,0.8502,0.7048
19,0.9308,0.6767,0.8717,0.7026
20,0.9264,0.6771,0.8804,0.6857
21,0.9117,0.6841,0.8236,0.7183
22,0.9061,0.6832,0.8109,0.7149
23,0.9005,0.6874,0.8651,0.6914
24,0.8866,0.6917,0.7955,0.7224
25,0.8845,0.6942,0.8085,0.7213
26,0.8680,0.6990,0.8163,0.7180
27,0.8655,0.6981,0.7904,0.7268
28,0.8535,0.7036,0.7982,0.7215
29,0.8577,0.7000,0.8585,0.7032
30,0.8417,0.7083,0.7676,0.7372
31,0.8364,0.7087,0.7598,0.7345
32,0.8327,0.7096,0.7706,0.7352
33,0.8258,0.7138,0.7569,0.7377
34,0.8203,0.7155,0.7691,0.7371
35,0.8185,0.7160,0.7748,0.7320
36,0.8109,0.7188,0.7778,0.7286
37,0.8013,0.7210,0.7594,0.7371
38,0.8012,0.7216,0.7579,0.7401
39,0.7968,0.7227,0.7392,0.7481
40,0.7917,0.7227,0.7420,0.7458
41,0.7880,0.7264,0.7406,0.7489
42,0.7809,0.7284,0.7332,0.7476
43,0.7700,0.7335,0.7335,0.7472
44,0.7715,0.7318,0.7224,0.7481
45,0.7727,0.7292,0.7754,0.7291
46,0.7604,0.7345,0.7249,0.7510
47,0.7519,0.7384,0.7431,0.7453
48,0.7562,0.7361,0.7506,0.7443
49,0.7555,0.7386,0.7121,0.7563
50,0.7422,0.7403,0.7163,0.7521

Final Train Accuracy: 0.7403
Final Test Accuracy: 0.7521
