Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4894,0.4705,1.2070,0.5755
2,1.2187,0.5683,1.1280,0.5987
3,1.1131,0.6076,1.0667,0.6240
4,1.0469,0.6319,1.0088,0.6424
5,1.0080,0.6471,0.9335,0.6761
6,0.9771,0.6603,0.9403,0.6693
7,0.9533,0.6651,0.8745,0.6963
8,0.9302,0.6753,0.8741,0.6954
9,0.9237,0.6769,0.8628,0.7002
10,0.9021,0.6832,0.8699,0.6961
11,0.8939,0.6864,0.9004,0.6872
12,0.8766,0.6943,0.8321,0.7162
13,0.8662,0.6980,0.8272,0.7159
14,0.8537,0.7038,0.8512,0.7019
15,0.8439,0.7045,0.8278,0.7158
16,0.8415,0.7072,0.8540,0.7048
17,0.8343,0.7094,0.8077,0.7195
18,0.8290,0.7102,0.8278,0.7120
19,0.8197,0.7136,0.8586,0.7037
20,0.8071,0.7175,0.8675,0.6998
21,0.8021,0.7193,0.8499,0.7109
22,0.7864,0.7265,0.7995,0.7200
23,0.7913,0.7246,0.8005,0.7257
24,0.7788,0.7263,0.7914,0.7268
25,0.7740,0.7310,0.7991,0.7274
26,0.7658,0.7323,0.7952,0.7250
27,0.7603,0.7367,0.7939,0.7297
28,0.7568,0.7347,0.7612,0.7381
29,0.7482,0.7394,0.7917,0.7304
30,0.7447,0.7374,0.8250,0.7157
31,0.7454,0.7410,0.7745,0.7334
32,0.7379,0.7421,0.8152,0.7226
33,0.7375,0.7414,0.7831,0.7313
34,0.7292,0.7435,0.7727,0.7332
35,0.7243,0.7446,0.7460,0.7435
36,0.7229,0.7464,0.7626,0.7350
37,0.7225,0.7474,0.7609,0.7368
38,0.7176,0.7488,0.7615,0.7417
39,0.7108,0.7502,0.8034,0.7219
40,0.7017,0.7556,0.7516,0.7428
41,0.7062,0.7511,0.7602,0.7377
42,0.7010,0.7558,0.7595,0.7365
43,0.7001,0.7547,0.7523,0.7433
44,0.6924,0.7573,0.7800,0.7361
45,0.6891,0.7579,0.7614,0.7367
46,0.6931,0.7558,0.7742,0.7307
47,0.6859,0.7601,0.7319,0.7450
48,0.6869,0.7584,0.7395,0.7457
49,0.6759,0.7628,0.7448,0.7413
50,0.6762,0.7632,0.7346,0.7488

Final Train Accuracy: 0.7632
Final Test Accuracy: 0.7488
