Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.7069,0.3849,1.3659,0.5129
2,1.3965,0.5043,1.1878,0.5789
3,1.2655,0.5508,1.1120,0.6078
4,1.1813,0.5852,1.0194,0.6386
5,1.1195,0.6043,0.9800,0.6606
6,1.0754,0.6215,0.9607,0.6627
7,1.0384,0.6340,0.9291,0.6792
8,1.0084,0.6446,0.8889,0.6888
9,0.9797,0.6559,0.8787,0.6877
10,0.9620,0.6617,0.8580,0.7008
11,0.9389,0.6686,0.8572,0.7022
12,0.9191,0.6770,0.8448,0.7081
13,0.9009,0.6802,0.8148,0.7151
14,0.8795,0.6897,0.8084,0.7182
15,0.8756,0.6921,0.8122,0.7165
16,0.8593,0.6964,0.8033,0.7220
17,0.8486,0.7010,0.8026,0.7229
18,0.8308,0.7072,0.7956,0.7238
19,0.8283,0.7084,0.8104,0.7188
20,0.8143,0.7116,0.7752,0.7271
21,0.8041,0.7152,0.7827,0.7298
22,0.7966,0.7164,0.7727,0.7316
23,0.7913,0.7217,0.7700,0.7350
24,0.7765,0.7234,0.7623,0.7365
25,0.7749,0.7267,0.7703,0.7312
26,0.7602,0.7310,0.7724,0.7307
27,0.7609,0.7296,0.7694,0.7338
28,0.7528,0.7329,0.7613,0.7325
29,0.7472,0.7352,0.7670,0.7344
30,0.7392,0.7353,0.7561,0.7354
31,0.7327,0.7378,0.7550,0.7407
32,0.7336,0.7401,0.7506,0.7404
33,0.7251,0.7426,0.7504,0.7427
34,0.7184,0.7459,0.7649,0.7326
35,0.7143,0.7449,0.7552,0.7380
36,0.7077,0.7475,0.7350,0.7449
37,0.7061,0.7514,0.7361,0.7496
38,0.6969,0.7506,0.7431,0.7459
39,0.6964,0.7539,0.7464,0.7439
40,0.6896,0.7567,0.7670,0.7400
41,0.6813,0.7567,0.7337,0.7494
42,0.6856,0.7578,0.7507,0.7354
43,0.6810,0.7575,0.7389,0.7448
44,0.6762,0.7611,0.7383,0.7468
45,0.6694,0.7627,0.7363,0.7464
46,0.6650,0.7629,0.7251,0.7506
47,0.6642,0.7624,0.7339,0.7479
48,0.6561,0.7661,0.7328,0.7499
49,0.6537,0.7692,0.7308,0.7515
50,0.6478,0.7668,0.7239,0.7517

Final Train Accuracy: 0.7668
Final Test Accuracy: 0.7517
