Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4372,0.4889,1.1032,0.6125
2,1.1397,0.5969,0.9549,0.6723
3,1.0357,0.6343,0.9309,0.6742
4,0.9696,0.6579,0.8416,0.7068
5,0.9254,0.6746,0.8432,0.7072
6,0.8867,0.6903,0.7863,0.7289
7,0.8526,0.7036,0.7831,0.7260
8,0.8211,0.7130,0.8294,0.7073
9,0.8028,0.7175,0.7395,0.7433
10,0.7760,0.7282,0.7464,0.7389
11,0.7558,0.7356,0.7431,0.7402
12,0.7336,0.7444,0.7108,0.7559
13,0.7247,0.7457,0.6977,0.7579
14,0.7088,0.7506,0.7727,0.7338
15,0.6912,0.7560,0.7159,0.7503
16,0.6796,0.7625,0.6943,0.7571
17,0.6685,0.7634,0.7055,0.7550
18,0.6559,0.7704,0.6711,0.7666
19,0.6473,0.7717,0.6790,0.7638
20,0.6425,0.7737,0.7061,0.7557
21,0.6287,0.7791,0.6743,0.7680
22,0.6168,0.7827,0.6675,0.7712
23,0.6121,0.7824,0.6938,0.7592
24,0.6049,0.7878,0.6906,0.7619
25,0.5948,0.7925,0.7765,0.7363
26,0.5847,0.7941,0.7373,0.7462
27,0.5824,0.7948,0.7023,0.7579
28,0.5806,0.7964,0.6552,0.7713
29,0.5727,0.7980,0.6696,0.7665
30,0.5621,0.8021,0.7247,0.7495
31,0.5629,0.8014,0.6694,0.7711
32,0.5496,0.8057,0.6951,0.7616
33,0.5498,0.8068,0.6760,0.7673
34,0.5446,0.8061,0.7104,0.7600
35,0.5398,0.8109,0.6425,0.7797
36,0.5367,0.8119,0.6444,0.7796
37,0.5316,0.8126,0.6496,0.7745
38,0.5288,0.8141,0.6731,0.7671
39,0.5221,0.8172,0.6902,0.7672
40,0.5233,0.8158,0.6782,0.7705
41,0.5169,0.8187,0.6787,0.7659
42,0.5206,0.8169,0.6581,0.7764
43,0.5124,0.8175,0.6506,0.7798
44,0.5127,0.8188,0.6900,0.7655
45,0.5070,0.8215,0.6444,0.7781
46,0.5019,0.8227,0.6646,0.7723
47,0.4986,0.8243,0.6528,0.7770
48,0.4996,0.8237,0.6668,0.7719
49,0.5008,0.8251,0.6998,0.7647
50,0.4968,0.8260,0.6685,0.7710

Final Train Accuracy: 0.8260
Final Test Accuracy: 0.7710
