Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4496,0.4792,1.1694,0.5706
2,1.1341,0.5972,1.0799,0.6183
3,1.0177,0.6401,0.8867,0.6865
4,0.9435,0.6684,0.8386,0.7107
5,0.8988,0.6841,0.7581,0.7380
6,0.8526,0.7009,0.7422,0.7425
7,0.8195,0.7142,0.6989,0.7570
8,0.7926,0.7235,0.7200,0.7461
9,0.7720,0.7315,0.6633,0.7699
10,0.7444,0.7410,0.6496,0.7752
11,0.7241,0.7472,0.6610,0.7666
12,0.7079,0.7530,0.6324,0.7777
13,0.6888,0.7590,0.6388,0.7768
14,0.6791,0.7626,0.6816,0.7637
15,0.6679,0.7652,0.5845,0.7994
16,0.6553,0.7703,0.5929,0.7953
17,0.6478,0.7730,0.6147,0.7866
18,0.6375,0.7749,0.6024,0.7905
19,0.6266,0.7804,0.5690,0.8017
20,0.6159,0.7843,0.5898,0.7940
21,0.6132,0.7855,0.5750,0.8050
22,0.6018,0.7902,0.5709,0.8022
23,0.6046,0.7889,0.5803,0.7963
24,0.5965,0.7925,0.5806,0.7979
25,0.5773,0.7981,0.5735,0.8018
26,0.5790,0.7960,0.5616,0.8086
27,0.5738,0.7972,0.5675,0.8043
28,0.5679,0.8022,0.5845,0.7962
29,0.5629,0.8039,0.5681,0.8032
30,0.5531,0.8056,0.5461,0.8104
31,0.5538,0.8059,0.5643,0.8047
32,0.5515,0.8074,0.5552,0.8060
33,0.5494,0.8061,0.5553,0.8055
34,0.5382,0.8112,0.5740,0.8028
35,0.5376,0.8127,0.5699,0.8010
36,0.5395,0.8105,0.5651,0.8028
37,0.5344,0.8131,0.5679,0.8073
38,0.5362,0.8095,0.5641,0.8068
39,0.5252,0.8164,0.5840,0.7989
40,0.5263,0.8152,0.5380,0.8155
41,0.5267,0.8165,0.5414,0.8154
42,0.5099,0.8210,0.5648,0.8092
43,0.5181,0.8178,0.5349,0.8127
44,0.5083,0.8210,0.5407,0.8128
45,0.5045,0.8236,0.5412,0.8142
46,0.5066,0.8222,0.5324,0.8165
47,0.5047,0.8228,0.5468,0.8112
48,0.5065,0.8227,0.5283,0.8183
49,0.4976,0.8236,0.5336,0.8138
50,0.5043,0.8229,0.5242,0.8173

Final Train Accuracy: 0.8229
Final Test Accuracy: 0.8173
