Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3488,0.5190,1.0122,0.6461
2,1.0528,0.6281,0.9486,0.6640
3,0.9474,0.6668,0.8544,0.7039
4,0.8827,0.6892,0.7872,0.7260
5,0.8262,0.7095,0.7683,0.7289
6,0.7881,0.7230,0.7311,0.7449
7,0.7458,0.7396,0.7088,0.7497
8,0.7215,0.7478,0.7184,0.7510
9,0.6890,0.7587,0.6661,0.7719
10,0.6618,0.7688,0.7152,0.7520
11,0.6322,0.7788,0.6763,0.7648
12,0.6149,0.7852,0.6473,0.7704
13,0.5922,0.7925,0.6594,0.7697
14,0.5731,0.7983,0.6522,0.7749
15,0.5621,0.8043,0.6765,0.7667
16,0.5403,0.8098,0.6380,0.7823
17,0.5243,0.8156,0.6994,0.7643
18,0.5168,0.8192,0.6255,0.7905
19,0.4957,0.8276,0.6220,0.7889
20,0.4805,0.8332,0.6491,0.7785
21,0.4791,0.8323,0.6330,0.7813
22,0.4683,0.8364,0.6364,0.7828
23,0.4513,0.8415,0.6545,0.7801
24,0.4465,0.8434,0.6176,0.7929
25,0.4391,0.8449,0.6269,0.7911
26,0.4281,0.8497,0.6577,0.7813
27,0.4235,0.8525,0.6167,0.7975
28,0.4142,0.8523,0.6347,0.7908
29,0.4052,0.8566,0.6346,0.7885
30,0.3998,0.8605,0.6109,0.7982
31,0.3931,0.8609,0.6415,0.7872
32,0.3856,0.8648,0.6216,0.7958
33,0.3865,0.8650,0.6657,0.7796
34,0.3762,0.8683,0.6245,0.7948
35,0.3729,0.8690,0.6761,0.7839
36,0.3671,0.8708,0.6769,0.7827
37,0.3642,0.8740,0.6326,0.7946
38,0.3616,0.8726,0.6284,0.7967
39,0.3606,0.8740,0.6794,0.7856
40,0.3588,0.8724,0.6274,0.7977
41,0.3493,0.8770,0.6359,0.7945
42,0.3457,0.8794,0.6208,0.7999
43,0.3450,0.8794,0.7532,0.7599
44,0.3445,0.8775,0.6421,0.7906
45,0.3399,0.8805,0.6515,0.7916
46,0.3364,0.8826,0.6548,0.7924
47,0.3372,0.8821,0.6329,0.7942
48,0.3288,0.8855,0.6365,0.7942
49,0.3281,0.8849,0.6488,0.7915
50,0.3314,0.8828,0.7057,0.7765

Final Train Accuracy: 0.8828
Final Test Accuracy: 0.7765
