Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.1282,0.6023,0.9782,0.6525
2,0.8215,0.7131,0.9023,0.6853
3,0.7110,0.7523,0.9670,0.6603
4,0.6221,0.7833,0.9397,0.6761
5,0.5569,0.8077,0.8345,0.7092
6,0.4978,0.8273,0.7092,0.7535
7,0.4519,0.8462,0.8772,0.7216
8,0.4101,0.8605,0.7911,0.7389
9,0.3748,0.8721,0.7202,0.7572
10,0.3381,0.8855,0.7371,0.7537
11,0.3038,0.8975,0.7448,0.7613
12,0.2793,0.9059,0.7777,0.7563
13,0.2492,0.9176,0.7650,0.7659
14,0.2319,0.9241,0.8187,0.7509
15,0.2127,0.9295,0.8200,0.7636
16,0.1974,0.9344,0.8022,0.7618
17,0.1835,0.9395,0.8368,0.7458
18,0.1711,0.9437,0.9008,0.7478
19,0.1585,0.9483,0.9518,0.7449
20,0.1502,0.9514,0.8743,0.7604
21,0.1430,0.9529,0.9358,0.7563
22,0.1338,0.9572,0.8887,0.7576
23,0.1302,0.9570,0.9605,0.7512
24,0.1265,0.9576,0.8995,0.7655
25,0.1144,0.9634,0.9645,0.7520
26,0.1156,0.9629,0.9538,0.7575
27,0.1113,0.9628,0.9556,0.7658
28,0.1069,0.9651,0.9738,0.7527
29,0.1018,0.9665,0.9551,0.7602
30,0.1015,0.9666,0.9747,0.7535
31,0.1010,0.9665,1.0042,0.7492
32,0.0978,0.9678,1.1113,0.7392
33,0.0988,0.9673,0.9606,0.7650
34,0.0908,0.9699,0.9841,0.7613
35,0.0834,0.9735,0.9973,0.7622
36,0.0907,0.9707,1.0517,0.7491
37,0.0937,0.9691,0.9824,0.7637
38,0.0895,0.9709,1.0321,0.7595
39,0.0875,0.9707,1.0672,0.7469
40,0.0864,0.9713,1.0439,0.7558
41,0.0835,0.9727,1.0015,0.7577
42,0.0774,0.9756,1.0130,0.7644
43,0.0790,0.9745,1.0741,0.7533
44,0.0806,0.9744,1.0189,0.7665
45,0.0760,0.9755,1.0249,0.7600
46,0.0797,0.9738,1.1252,0.7425
47,0.0830,0.9726,1.0720,0.7577
48,0.0777,0.9751,1.1299,0.7454
49,0.0763,0.9753,1.0874,0.7479
50,0.0753,0.9749,1.0789,0.7584

Final Train Accuracy: 0.9749
Final Test Accuracy: 0.7584
