Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4314,0.4894,1.0832,0.6222
2,1.1395,0.5963,0.9722,0.6564
3,1.0356,0.6355,0.8935,0.6896
4,0.9705,0.6568,0.9432,0.6638
5,0.9227,0.6746,0.8245,0.7099
6,0.8842,0.6882,0.8328,0.7086
7,0.8497,0.6994,0.7670,0.7353
8,0.8185,0.7113,0.8245,0.7104
9,0.7909,0.7220,0.7366,0.7465
10,0.7710,0.7281,0.8019,0.7168
11,0.7535,0.7333,0.7543,0.7341
12,0.7337,0.7443,0.7176,0.7501
13,0.7226,0.7459,0.7037,0.7578
14,0.7010,0.7544,0.6997,0.7590
15,0.6893,0.7582,0.6873,0.7598
16,0.6788,0.7614,0.6846,0.7656
17,0.6661,0.7648,0.7696,0.7354
18,0.6543,0.7704,0.6732,0.7681
19,0.6438,0.7754,0.6760,0.7650
20,0.6341,0.7762,0.6633,0.7734
21,0.6260,0.7795,0.6977,0.7586
22,0.6193,0.7843,0.7201,0.7507
23,0.6113,0.7841,0.6563,0.7740
24,0.6041,0.7875,0.6847,0.7610
25,0.5968,0.7903,0.6607,0.7689
26,0.5861,0.7922,0.6480,0.7760
27,0.5798,0.7982,0.6787,0.7636
28,0.5787,0.7947,0.6987,0.7609
29,0.5726,0.7988,0.6460,0.7792
30,0.5664,0.8018,0.7441,0.7462
31,0.5537,0.8058,0.6462,0.7796
32,0.5594,0.8042,0.6494,0.7772
33,0.5466,0.8062,0.6625,0.7715
34,0.5463,0.8100,0.6580,0.7743
35,0.5437,0.8070,0.6492,0.7751
36,0.5375,0.8102,0.6426,0.7783
37,0.5321,0.8129,0.6533,0.7720
38,0.5261,0.8161,0.6441,0.7791
39,0.5274,0.8140,0.6458,0.7775
40,0.5222,0.8158,0.6540,0.7721
41,0.5115,0.8171,0.6485,0.7775
42,0.5145,0.8206,0.6559,0.7755
43,0.5087,0.8203,0.6504,0.7803
44,0.5085,0.8218,0.6566,0.7748
45,0.5017,0.8240,0.6573,0.7771
46,0.5010,0.8237,0.6494,0.7771
47,0.4977,0.8231,0.6853,0.7715
48,0.4961,0.8227,0.6414,0.7871
49,0.4851,0.8280,0.6636,0.7807
50,0.4885,0.8264,0.6621,0.7742

Final Train Accuracy: 0.8264
Final Test Accuracy: 0.7742
