Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.5276,0.4560,1.1817,0.5743
2,1.2094,0.5722,0.9841,0.6563
3,1.0963,0.6140,0.9193,0.6730
4,1.0281,0.6387,0.8803,0.6918
5,0.9824,0.6549,0.8280,0.7159
6,0.9341,0.6725,0.8611,0.6973
7,0.9067,0.6812,0.8216,0.7142
8,0.8765,0.6929,0.8075,0.7196
9,0.8441,0.7044,0.7800,0.7289
10,0.8223,0.7145,0.7629,0.7352
11,0.8046,0.7211,0.7309,0.7488
12,0.7839,0.7244,0.7112,0.7577
13,0.7654,0.7333,0.7283,0.7495
14,0.7500,0.7360,0.7009,0.7587
15,0.7403,0.7442,0.7286,0.7519
16,0.7194,0.7482,0.7039,0.7559
17,0.7086,0.7535,0.7205,0.7552
18,0.6953,0.7572,0.7760,0.7325
19,0.6919,0.7599,0.6969,0.7594
20,0.6751,0.7665,0.6835,0.7669
21,0.6720,0.7668,0.6668,0.7695
22,0.6593,0.7706,0.6577,0.7768
23,0.6485,0.7750,0.6782,0.7690
24,0.6441,0.7762,0.6923,0.7622
25,0.6414,0.7766,0.6663,0.7744
26,0.6271,0.7804,0.6699,0.7701
27,0.6235,0.7824,0.6687,0.7722
28,0.6160,0.7859,0.6539,0.7784
29,0.6123,0.7881,0.6644,0.7771
30,0.6034,0.7903,0.6977,0.7641
31,0.5935,0.7915,0.7198,0.7565
32,0.5968,0.7925,0.6610,0.7812
33,0.5863,0.7947,0.6535,0.7766
34,0.5833,0.7958,0.6526,0.7819
35,0.5824,0.7976,0.6644,0.7731
36,0.5792,0.7993,0.7095,0.7605
37,0.5733,0.8008,0.6694,0.7723
38,0.5690,0.8017,0.6540,0.7768
39,0.5632,0.8043,0.7334,0.7557
40,0.5646,0.8036,0.7219,0.7571
41,0.5534,0.8072,0.7257,0.7566
42,0.5577,0.8086,0.6623,0.7752
43,0.5516,0.8070,0.6631,0.7755
44,0.5532,0.8095,0.6723,0.7753
45,0.5431,0.8101,0.6793,0.7703
46,0.5418,0.8113,0.6611,0.7761
47,0.5334,0.8160,0.6661,0.7743
48,0.5446,0.8104,0.6548,0.7743
49,0.5315,0.8139,0.6500,0.7779
50,0.5307,0.8157,0.6559,0.7771

Final Train Accuracy: 0.8157
Final Test Accuracy: 0.7771
