Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4430,0.4843,1.1902,0.5681
2,1.1503,0.5930,1.0435,0.6264
3,1.0400,0.6319,0.9439,0.6669
4,0.9761,0.6569,0.9147,0.6779
5,0.9216,0.6779,0.8118,0.7178
6,0.8798,0.6915,0.8688,0.6949
7,0.8468,0.7013,0.7665,0.7364
8,0.8205,0.7124,0.7667,0.7336
9,0.7874,0.7229,0.7617,0.7341
10,0.7671,0.7348,0.7221,0.7466
11,0.7449,0.7390,0.6874,0.7593
12,0.7249,0.7470,0.7371,0.7422
13,0.7122,0.7502,0.7982,0.7214
14,0.6912,0.7570,0.6970,0.7597
15,0.6773,0.7628,0.7829,0.7331
16,0.6653,0.7674,0.7078,0.7563
17,0.6588,0.7684,0.6501,0.7718
18,0.6442,0.7763,0.7618,0.7380
19,0.6284,0.7815,0.6702,0.7688
20,0.6218,0.7820,0.6473,0.7754
21,0.6065,0.7893,0.6334,0.7796
22,0.6046,0.7857,0.7269,0.7503
23,0.5918,0.7923,0.6323,0.7837
24,0.5828,0.7954,0.6353,0.7814
25,0.5768,0.7974,0.6952,0.7620
26,0.5699,0.7999,0.6285,0.7829
27,0.5564,0.8010,0.6513,0.7776
28,0.5543,0.8048,0.6838,0.7655
29,0.5486,0.8067,0.6576,0.7759
30,0.5425,0.8105,0.6247,0.7870
31,0.5349,0.8125,0.6452,0.7794
32,0.5340,0.8111,0.6401,0.7779
33,0.5279,0.8130,0.6240,0.7860
34,0.5192,0.8171,0.6363,0.7832
35,0.5184,0.8182,0.6698,0.7704
36,0.5141,0.8179,0.6405,0.7827
37,0.5118,0.8198,0.6511,0.7831
38,0.5048,0.8227,0.6779,0.7689
39,0.5042,0.8214,0.6377,0.7840
40,0.5004,0.8251,0.6757,0.7688
41,0.4967,0.8258,0.6892,0.7676
42,0.4925,0.8270,0.6339,0.7820
43,0.4849,0.8292,0.6572,0.7776
44,0.4835,0.8306,0.7089,0.7633
45,0.4736,0.8330,0.6164,0.7890
46,0.4812,0.8316,0.6444,0.7808
47,0.4818,0.8298,0.6060,0.7903
48,0.4687,0.8334,0.6260,0.7877
49,0.4720,0.8340,0.6341,0.7849
50,0.4648,0.8369,0.6338,0.7852

Final Train Accuracy: 0.8369
Final Test Accuracy: 0.7852
