Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4981,0.4621,1.2300,0.5602
2,1.2213,0.5631,1.0954,0.6093
3,1.0943,0.6141,0.9454,0.6704
4,1.0209,0.6388,0.9117,0.6791
5,0.9665,0.6584,0.9237,0.6743
6,0.9199,0.6754,0.8503,0.7012
7,0.8877,0.6867,0.8297,0.7086
8,0.8540,0.7000,0.7771,0.7335
9,0.8283,0.7088,0.7536,0.7397
10,0.8002,0.7178,0.7399,0.7437
11,0.7869,0.7245,0.7805,0.7297
12,0.7698,0.7305,0.7165,0.7499
13,0.7507,0.7357,0.7315,0.7476
14,0.7319,0.7422,0.7084,0.7515
15,0.7219,0.7465,0.7156,0.7550
16,0.7103,0.7505,0.7072,0.7592
17,0.6939,0.7570,0.6873,0.7617
18,0.6809,0.7625,0.7293,0.7472
19,0.6751,0.7629,0.7039,0.7556
20,0.6654,0.7681,0.7053,0.7566
21,0.6548,0.7697,0.7628,0.7372
22,0.6408,0.7744,0.6685,0.7689
23,0.6350,0.7753,0.6795,0.7612
24,0.6362,0.7756,0.6917,0.7616
25,0.6188,0.7826,0.6963,0.7593
26,0.6129,0.7842,0.8056,0.7254
27,0.6106,0.7836,0.6744,0.7691
28,0.5994,0.7891,0.6807,0.7673
29,0.5955,0.7890,0.6707,0.7640
30,0.5876,0.7947,0.6623,0.7706
31,0.5724,0.7979,0.6476,0.7793
32,0.5730,0.7980,0.6929,0.7654
33,0.5667,0.8006,0.6775,0.7683
34,0.5648,0.8024,0.6682,0.7681
35,0.5550,0.8029,0.6577,0.7762
36,0.5561,0.8048,0.6536,0.7761
37,0.5488,0.8054,0.6726,0.7708
38,0.5460,0.8076,0.6650,0.7705
39,0.5330,0.8106,0.6524,0.7815
40,0.5350,0.8123,0.7010,0.7592
41,0.5421,0.8104,0.6533,0.7816
42,0.5344,0.8124,0.6520,0.7793
43,0.5316,0.8127,0.6525,0.7739
44,0.5211,0.8168,0.6559,0.7765
45,0.5195,0.8170,0.6731,0.7708
46,0.5141,0.8189,0.6514,0.7795
47,0.5153,0.8182,0.6578,0.7788
48,0.5137,0.8205,0.6601,0.7756
49,0.5116,0.8199,0.6745,0.7718
50,0.5051,0.8215,0.6475,0.7835

Final Train Accuracy: 0.8215
Final Test Accuracy: 0.7835
