Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4511,0.4821,1.1206,0.6077
2,1.1499,0.5901,0.9585,0.6631
3,1.0465,0.6265,0.9643,0.6618
4,0.9838,0.6522,0.8724,0.6948
5,0.9281,0.6757,0.8143,0.7162
6,0.8851,0.6889,0.7912,0.7238
7,0.8497,0.7025,0.7935,0.7202
8,0.8245,0.7085,0.7765,0.7289
9,0.7996,0.7185,0.7559,0.7365
10,0.7787,0.7248,0.7317,0.7471
11,0.7623,0.7328,0.8379,0.7092
12,0.7386,0.7393,0.7356,0.7419
13,0.7299,0.7452,0.7370,0.7450
14,0.7075,0.7516,0.7264,0.7479
15,0.6961,0.7549,0.7109,0.7524
16,0.6849,0.7605,0.6896,0.7636
17,0.6709,0.7646,0.7008,0.7570
18,0.6604,0.7658,0.7292,0.7487
19,0.6475,0.7721,0.7042,0.7592
20,0.6408,0.7760,0.7266,0.7467
21,0.6334,0.7781,0.6909,0.7600
22,0.6234,0.7812,0.7206,0.7509
23,0.6126,0.7822,0.6806,0.7656
24,0.6080,0.7843,0.7033,0.7571
25,0.6024,0.7874,0.6881,0.7600
26,0.5860,0.7940,0.7542,0.7376
27,0.5844,0.7931,0.6817,0.7670
28,0.5811,0.7939,0.8055,0.7244
29,0.5704,0.7978,0.6792,0.7663
30,0.5672,0.8002,0.6969,0.7582
31,0.5598,0.8020,0.6704,0.7665
32,0.5561,0.8038,0.6766,0.7665
33,0.5501,0.8052,0.6916,0.7614
34,0.5447,0.8081,0.6774,0.7629
35,0.5443,0.8092,0.6801,0.7632
36,0.5348,0.8103,0.6622,0.7709
37,0.5304,0.8133,0.6769,0.7679
38,0.5318,0.8104,0.6864,0.7639
39,0.5246,0.8139,0.6727,0.7724
40,0.5154,0.8191,0.6901,0.7648
41,0.5137,0.8187,0.7030,0.7636
42,0.5132,0.8197,0.6829,0.7669
43,0.5081,0.8197,0.6856,0.7673
44,0.5097,0.8195,0.6616,0.7739
45,0.5039,0.8206,0.6742,0.7690
46,0.4998,0.8226,0.6649,0.7766
47,0.5018,0.8215,0.6606,0.7740
48,0.4966,0.8246,0.6645,0.7754
49,0.4928,0.8259,0.6589,0.7761
50,0.4899,0.8284,0.6556,0.7794

Final Train Accuracy: 0.8284
Final Test Accuracy: 0.7794
