Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4341,0.4907,1.1177,0.6014
2,1.1397,0.5950,0.9693,0.6590
3,1.0393,0.6312,0.9342,0.6720
4,0.9732,0.6572,0.8765,0.6907
5,0.9276,0.6746,0.8239,0.7126
6,0.8879,0.6883,0.8261,0.7148
7,0.8525,0.7000,0.7819,0.7304
8,0.8248,0.7105,0.7565,0.7375
9,0.7929,0.7213,0.7766,0.7294
10,0.7744,0.7298,0.7453,0.7421
11,0.7537,0.7344,0.7340,0.7442
12,0.7423,0.7397,0.7363,0.7483
13,0.7236,0.7464,0.7086,0.7553
14,0.7040,0.7524,0.6832,0.7611
15,0.6976,0.7544,0.6941,0.7582
16,0.6799,0.7632,0.6873,0.7613
17,0.6647,0.7651,0.7502,0.7429
18,0.6590,0.7696,0.6944,0.7567
19,0.6497,0.7718,0.6801,0.7648
20,0.6386,0.7742,0.6702,0.7678
21,0.6312,0.7789,0.6630,0.7692
22,0.6163,0.7838,0.6851,0.7705
23,0.6132,0.7827,0.6646,0.7691
24,0.6020,0.7860,0.6641,0.7695
25,0.5953,0.7897,0.6545,0.7756
26,0.5877,0.7929,0.6506,0.7752
27,0.5824,0.7942,0.6950,0.7594
28,0.5712,0.7978,0.6681,0.7699
29,0.5701,0.7974,0.6801,0.7702
30,0.5615,0.8030,0.6832,0.7617
31,0.5593,0.8033,0.6744,0.7675
32,0.5546,0.8059,0.7861,0.7342
33,0.5524,0.8032,0.6697,0.7717
34,0.5456,0.8073,0.6471,0.7774
35,0.5400,0.8112,0.6502,0.7802
36,0.5342,0.8121,0.6719,0.7690
37,0.5303,0.8137,0.7376,0.7501
38,0.5238,0.8151,0.6636,0.7728
39,0.5192,0.8155,0.6529,0.7789
40,0.5208,0.8168,0.6711,0.7710
41,0.5170,0.8180,0.6704,0.7742
42,0.5125,0.8197,0.6607,0.7755
43,0.5138,0.8217,0.6502,0.7806
44,0.5079,0.8208,0.6588,0.7796
45,0.5028,0.8209,0.6770,0.7731
46,0.4992,0.8242,0.6615,0.7756
47,0.4980,0.8241,0.6829,0.7688
48,0.4969,0.8229,0.6494,0.7821
49,0.4930,0.8269,0.6508,0.7795
50,0.4907,0.8262,0.6490,0.7821

Final Train Accuracy: 0.8262
Final Test Accuracy: 0.7821
