Episode   20 | Avg(100) =  21.30 | eps = 0.905
Episode   40 | Avg(100) =  20.12 | eps = 0.818
Episode   60 | Avg(100) =  20.92 | eps = 0.740
Episode   80 | Avg(100) =  20.51 | eps = 0.670
Episode  100 | Avg(100) =  22.55 | eps = 0.606
Episode  120 | Avg(100) =  25.08 | eps = 0.548
Episode  140 | Avg(100) =  27.92 | eps = 0.496
Episode  160 | Avg(100) =  36.38 | eps = 0.448
Episode  180 | Avg(100) =  42.66 | eps = 0.406
Episode  200 | Avg(100) =  49.50 | eps = 0.367
Episode  220 | Avg(100) =  58.54 | eps = 0.332
Episode  240 | Avg(100) =  70.34 | eps = 0.300
Episode  260 | Avg(100) =  76.93 | eps = 0.272
Episode  280 | Avg(100) =  82.65 | eps = 0.246
Episode  300 | Avg(100) =  88.63 | eps = 0.222
Episode  320 | Avg(100) =  92.06 | eps = 0.201
Episode  340 | Avg(100) = 101.91 | eps = 0.182
Episode  360 | Avg(100) = 112.24 | eps = 0.165
Episode  380 | Avg(100) = 116.91 | eps = 0.149
Episode  400 | Avg(100) = 120.84 | eps = 0.135
Episode  420 | Avg(100) = 131.37 | eps = 0.122
Episode  440 | Avg(100) = 128.36 | eps = 0.110
Episode  460 | Avg(100) = 119.18 | eps = 0.100
Episode  480 | Avg(100) = 118.00 | eps = 0.090
Episode  500 | Avg(100) = 113.12 | eps = 0.082
Episode  520 | Avg(100) = 111.24 | eps = 0.074
Episode  540 | Avg(100) = 103.10 | eps = 0.067
Episode  560 | Avg(100) = 103.16 | eps = 0.060
Episode  580 | Avg(100) = 103.12 | eps = 0.055
Episode  600 | Avg(100) = 102.24 | eps = 0.050
Episode  620 | Avg(100) =  94.26 | eps = 0.050
Episode  640 | Avg(100) =  95.46 | eps = 0.050
Episode  660 | Avg(100) =  93.77 | eps = 0.050
Episode  680 | Avg(100) =  94.67 | eps = 0.050
Episode  700 | Avg(100) = 100.00 | eps = 0.050
Episode  720 | Avg(100) = 100.92 | eps = 0.050
Episode  740 | Avg(100) = 100.82 | eps = 0.050
Episode  760 | Avg(100) = 102.30 | eps = 0.050
Episode  780 | Avg(100) = 106.95 | eps = 0.050
Episode  800 | Avg(100) = 115.11 | eps = 0.050
Episode  820 | Avg(100) = 133.70 | eps = 0.050
Episode  840 | Avg(100) = 160.33 | eps = 0.050
Episode  860 | Avg(100) = 171.17 | eps = 0.050
Episode  880 | Avg(100) = 185.92 | eps = 0.050
Episode  900 | Avg(100) = 185.72 | eps = 0.050
Episode  920 | Avg(100) = 173.91 | eps = 0.050
Episode  940 | Avg(100) = 160.38 | eps = 0.050
Episode  960 | Avg(100) = 168.87 | eps = 0.050
Episode  980 | Avg(100) = 160.53 | eps = 0.050
Episode 1000 | Avg(100) = 162.86 | eps = 0.050
Episode 1020 | Avg(100) = 162.16 | eps = 0.050
Episode 1040 | Avg(100) = 150.82 | eps = 0.050
Episode 1060 | Avg(100) = 132.60 | eps = 0.050
Episode 1080 | Avg(100) = 129.46 | eps = 0.050
Episode 1100 | Avg(100) = 116.35 | eps = 0.050
Episode 1120 | Avg(100) = 108.17 | eps = 0.050
Episode 1140 | Avg(100) = 108.51 | eps = 0.050
Episode 1160 | Avg(100) = 109.69 | eps = 0.050
Episode 1180 | Avg(100) = 101.75 | eps = 0.050
Episode 1200 | Avg(100) = 103.36 | eps = 0.050
Episode 1220 | Avg(100) = 103.85 | eps = 0.050
Episode 1240 | Avg(100) = 102.55 | eps = 0.050
Episode 1260 | Avg(100) = 100.89 | eps = 0.050
Episode 1280 | Avg(100) =  98.01 | eps = 0.050
Episode 1300 | Avg(100) =  92.92 | eps = 0.050
Episode 1320 | Avg(100) =  93.87 | eps = 0.050
Episode 1340 | Avg(100) =  95.62 | eps = 0.050
Episode 1360 | Avg(100) =  96.27 | eps = 0.050
Episode 1380 | Avg(100) =  95.40 | eps = 0.050
Episode 1400 | Avg(100) =  98.37 | eps = 0.050
Episode 1420 | Avg(100) =  95.90 | eps = 0.050
Episode 1440 | Avg(100) =  95.78 | eps = 0.050
Episode 1460 | Avg(100) =  92.84 | eps = 0.050
Episode 1480 | Avg(100) =  91.07 | eps = 0.050
Episode 1500 | Avg(100) =  93.04 | eps = 0.050
Episode 1520 | Avg(100) =  93.90 | eps = 0.050
Episode 1540 | Avg(100) =  93.92 | eps = 0.050
Episode 1560 | Avg(100) = 118.15 | eps = 0.050
Episode 1580 | Avg(100) = 136.38 | eps = 0.050
Episode 1600 | Avg(100) = 184.90 | eps = 0.050

Solved! Episode 1606 | Avg(100) = 196.16
