Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3332,0.4731,1.2833,0.5300
2,1.2560,0.5689,1.2187,0.6375
3,1.1913,0.6275,1.1623,0.7050
4,1.1347,0.7272,1.1115,0.7625
5,1.0831,0.8194,1.0650,0.8325
6,1.0363,0.8714,1.0219,0.8750
7,0.9931,0.8906,0.9819,0.8800
8,0.9538,0.9072,0.9445,0.8925
9,0.9167,0.9164,0.9095,0.9050
10,0.8819,0.9244,0.8766,0.9075
11,0.8496,0.9297,0.8456,0.9125
12,0.8187,0.9364,0.8165,0.9175
13,0.7902,0.9453,0.7889,0.9200
14,0.7632,0.9494,0.7629,0.9300
15,0.7379,0.9544,0.7383,0.9400
16,0.7138,0.9561,0.7149,0.9425
17,0.6909,0.9600,0.6928,0.9550
18,0.6694,0.9614,0.6718,0.9575
19,0.6490,0.9642,0.6519,0.9600
20,0.6300,0.9664,0.6329,0.9600
21,0.6116,0.9672,0.6148,0.9600
22,0.5937,0.9692,0.5977,0.9600
23,0.5772,0.9708,0.5812,0.9675
24,0.5610,0.9714,0.5656,0.9675
25,0.5460,0.9731,0.5507,0.9675
26,0.5319,0.9744,0.5364,0.9700
27,0.5182,0.9756,0.5228,0.9700
28,0.5045,0.9761,0.5098,0.9700
29,0.4918,0.9769,0.4973,0.9700
30,0.4798,0.9769,0.4854,0.9700
31,0.4682,0.9778,0.4740,0.9725
32,0.4574,0.9778,0.4631,0.9725
33,0.4465,0.9778,0.4526,0.9725
34,0.4366,0.9786,0.4425,0.9725
35,0.4274,0.9786,0.4328,0.9725
36,0.4173,0.9792,0.4235,0.9725
37,0.4087,0.9800,0.4146,0.9725
38,0.4003,0.9803,0.4061,0.9725
39,0.3920,0.9800,0.3978,0.9725
40,0.3834,0.9806,0.3899,0.9725
41,0.3760,0.9811,0.3823,0.9725
42,0.3686,0.9814,0.3749,0.9700
43,0.3615,0.9817,0.3678,0.9700
44,0.3547,0.9814,0.3610,0.9700
45,0.3482,0.9819,0.3544,0.9700
46,0.3414,0.9822,0.3480,0.9700
47,0.3354,0.9822,0.3419,0.9700
48,0.3295,0.9833,0.3360,0.9700
49,0.3239,0.9828,0.3303,0.9700
50,0.3185,0.9836,0.3247,0.9700
51,0.3128,0.9833,0.3194,0.9700
52,0.3077,0.9839,0.3142,0.9700
53,0.3028,0.9842,0.3092,0.9700
54,0.2981,0.9842,0.3044,0.9700
55,0.2931,0.9842,0.2997,0.9700
56,0.2888,0.9839,0.2952,0.9700
57,0.2840,0.9836,0.2908,0.9700
58,0.2803,0.9836,0.2865,0.9700
59,0.2765,0.9836,0.2824,0.9700
60,0.2721,0.9839,0.2784,0.9700
61,0.2678,0.9839,0.2745,0.9700
62,0.2645,0.9836,0.2707,0.9725
63,0.2603,0.9839,0.2670,0.9725
64,0.2570,0.9839,0.2635,0.9725
65,0.2533,0.9839,0.2600,0.9725
66,0.2505,0.9839,0.2567,0.9725
67,0.2472,0.9842,0.2534,0.9725
68,0.2439,0.9839,0.2502,0.9725
69,0.2407,0.9844,0.2471,0.9750
70,0.2377,0.9839,0.2441,0.9750
71,0.2349,0.9839,0.2412,0.9750
72,0.2321,0.9844,0.2383,0.9750
73,0.2291,0.9842,0.2355,0.9750
74,0.2264,0.9847,0.2328,0.9750
75,0.2240,0.9850,0.2302,0.9750
76,0.2215,0.9850,0.2276,0.9750
77,0.2189,0.9856,0.2251,0.9750
78,0.2164,0.9853,0.2227,0.9750
79,0.2142,0.9853,0.2203,0.9775
80,0.2117,0.9850,0.2180,0.9775
81,0.2092,0.9853,0.2157,0.9775
82,0.2075,0.9853,0.2135,0.9775
83,0.2052,0.9853,0.2113,0.9775
84,0.2027,0.9850,0.2092,0.9775
85,0.2009,0.9850,0.2071,0.9775
86,0.1987,0.9853,0.2051,0.9775
87,0.1968,0.9853,0.2031,0.9775
88,0.1946,0.9853,0.2012,0.9775
89,0.1930,0.9853,0.1993,0.9775
90,0.1912,0.9850,0.1974,0.9775
91,0.1892,0.9853,0.1956,0.9775
92,0.1877,0.9856,0.1939,0.9775
93,0.1861,0.9853,0.1922,0.9775
94,0.1843,0.9850,0.1905,0.9775
95,0.1828,0.9850,0.1888,0.9775
96,0.1810,0.9850,0.1872,0.9775
97,0.1792,0.9853,0.1856,0.9775
98,0.1778,0.9850,0.1840,0.9775
99,0.1765,0.9850,0.1825,0.9775
100,0.1746,0.9850,0.1810,0.9775
