Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3528,0.2575,1.3317,0.2375
2,1.2903,0.3422,1.2761,0.5950
3,1.2362,0.7067,1.2263,0.7300
4,1.1871,0.7492,1.1808,0.7325
5,1.1419,0.7572,1.1387,0.7375
6,1.1006,0.7639,1.0994,0.7575
7,1.0618,0.7764,1.0626,0.7725
8,1.0259,0.7894,1.0279,0.7850
9,0.9915,0.8028,0.9951,0.8000
10,0.9590,0.8194,0.9639,0.8125
11,0.9287,0.8356,0.9343,0.8275
12,0.8996,0.8503,0.9061,0.8400
13,0.8721,0.8642,0.8792,0.8700
14,0.8462,0.8747,0.8536,0.8850
15,0.8211,0.8897,0.8290,0.8900
16,0.7965,0.9003,0.8055,0.9000
17,0.7738,0.9100,0.7829,0.9050
18,0.7522,0.9192,0.7613,0.9150
19,0.7316,0.9286,0.7405,0.9175
20,0.7110,0.9369,0.7206,0.9225
21,0.6921,0.9417,0.7014,0.9325
22,0.6735,0.9456,0.6829,0.9375
23,0.6555,0.9494,0.6651,0.9375
24,0.6387,0.9544,0.6480,0.9400
25,0.6221,0.9592,0.6315,0.9500
26,0.6063,0.9608,0.6157,0.9500
27,0.5905,0.9650,0.6004,0.9575
28,0.5755,0.9664,0.5857,0.9600
29,0.5618,0.9675,0.5715,0.9650
30,0.5482,0.9694,0.5578,0.9650
31,0.5352,0.9711,0.5446,0.9650
32,0.5221,0.9736,0.5319,0.9700
33,0.5099,0.9744,0.5196,0.9700
34,0.4979,0.9753,0.5078,0.9700
35,0.4870,0.9769,0.4963,0.9700
36,0.4758,0.9778,0.4853,0.9725
37,0.4653,0.9781,0.4747,0.9725
38,0.4548,0.9786,0.4644,0.9725
39,0.4452,0.9792,0.4545,0.9725
40,0.4359,0.9789,0.4449,0.9725
41,0.4266,0.9794,0.4356,0.9725
42,0.4174,0.9797,0.4267,0.9725
43,0.4089,0.9797,0.4181,0.9725
44,0.4011,0.9806,0.4097,0.9725
45,0.3926,0.9806,0.4017,0.9725
46,0.3849,0.9808,0.3939,0.9725
47,0.3775,0.9808,0.3864,0.9725
48,0.3706,0.9817,0.3791,0.9725
49,0.3635,0.9819,0.3721,0.9725
50,0.3566,0.9822,0.3653,0.9725
51,0.3502,0.9825,0.3587,0.9725
52,0.3440,0.9833,0.3523,0.9725
53,0.3380,0.9833,0.3461,0.9725
54,0.3319,0.9833,0.3402,0.9725
55,0.3265,0.9833,0.3344,0.9725
56,0.3209,0.9833,0.3288,0.9725
57,0.3154,0.9839,0.3233,0.9750
58,0.3106,0.9842,0.3181,0.9750
59,0.3048,0.9842,0.3130,0.9750
60,0.3002,0.9842,0.3081,0.9750
61,0.2955,0.9842,0.3033,0.9750
62,0.2906,0.9842,0.2986,0.9750
63,0.2861,0.9842,0.2941,0.9750
64,0.2817,0.9842,0.2897,0.9750
65,0.2777,0.9839,0.2855,0.9750
66,0.2738,0.9842,0.2814,0.9750
67,0.2700,0.9842,0.2774,0.9750
68,0.2663,0.9842,0.2735,0.9775
69,0.2625,0.9847,0.2697,0.9750
70,0.2587,0.9847,0.2661,0.9750
71,0.2550,0.9847,0.2625,0.9750
72,0.2517,0.9847,0.2590,0.9750
73,0.2486,0.9847,0.2557,0.9750
74,0.2451,0.9850,0.2524,0.9750
75,0.2418,0.9850,0.2492,0.9750
76,0.2389,0.9850,0.2461,0.9750
77,0.2359,0.9853,0.2431,0.9750
78,0.2329,0.9850,0.2401,0.9750
79,0.2301,0.9847,0.2373,0.9750
80,0.2275,0.9850,0.2345,0.9750
81,0.2244,0.9847,0.2318,0.9750
82,0.2220,0.9850,0.2291,0.9750
83,0.2196,0.9850,0.2265,0.9750
84,0.2176,0.9850,0.2240,0.9750
85,0.2145,0.9850,0.2215,0.9750
86,0.2120,0.9850,0.2191,0.9750
87,0.2096,0.9850,0.2168,0.9750
88,0.2075,0.9850,0.2145,0.9750
89,0.2056,0.9850,0.2122,0.9750
90,0.2030,0.9853,0.2101,0.9750
91,0.2009,0.9853,0.2079,0.9750
92,0.1992,0.9853,0.2059,0.9750
93,0.1968,0.9853,0.2038,0.9750
94,0.1951,0.9853,0.2019,0.9750
95,0.1932,0.9853,0.1999,0.9750
96,0.1910,0.9853,0.1980,0.9750
97,0.1892,0.9853,0.1962,0.9750
98,0.1877,0.9853,0.1943,0.9750
99,0.1858,0.9853,0.1926,0.9750
100,0.1839,0.9853,0.1908,0.9750
