Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3792,0.1128,1.3715,0.1450
2,1.3669,0.2431,1.3618,0.2550
3,1.3573,0.3486,1.3531,0.3950
4,1.3484,0.5272,1.3449,0.5650
5,1.3401,0.5822,1.3369,0.6125
6,1.3321,0.6189,1.3291,0.6275
7,1.3241,0.6353,1.3213,0.6975
8,1.3163,0.6981,1.3137,0.7175
9,1.3085,0.7800,1.3060,0.7375
10,1.3009,0.7733,1.2983,0.7825
11,1.2932,0.8114,1.2906,0.8025
12,1.2857,0.8222,1.2830,0.8375
13,1.2781,0.8408,1.2756,0.8650
14,1.2708,0.8847,1.2682,0.8875
15,1.2634,0.8825,1.2608,0.8975
16,1.2561,0.9169,1.2536,0.9075
17,1.2489,0.9183,1.2463,0.9200
18,1.2417,0.9319,1.2392,0.9300
19,1.2345,0.9417,1.2322,0.9300
20,1.2275,0.9439,1.2251,0.9350
21,1.2204,0.9469,1.2180,0.9400
22,1.2133,0.9583,1.2112,0.9425
23,1.2065,0.9542,1.2042,0.9450
24,1.1995,0.9572,1.1974,0.9475
25,1.1926,0.9592,1.1907,0.9575
26,1.1859,0.9625,1.1836,0.9600
27,1.1791,0.9631,1.1768,0.9625
28,1.1724,0.9656,1.1702,0.9700
29,1.1657,0.9675,1.1635,0.9700
30,1.1592,0.9675,1.1570,0.9700
31,1.1526,0.9736,1.1506,0.9700
32,1.1462,0.9700,1.1439,0.9725
33,1.1395,0.9739,1.1373,0.9725
34,1.1332,0.9736,1.1308,0.9725
35,1.1268,0.9756,1.1246,0.9725
36,1.1204,0.9758,1.1182,0.9725
37,1.1141,0.9786,1.1119,0.9725
38,1.1079,0.9767,1.1057,0.9725
39,1.1016,0.9781,1.0993,0.9725
40,1.0953,0.9778,1.0933,0.9725
41,1.0892,0.9781,1.0870,0.9725
42,1.0831,0.9778,1.0810,0.9750
43,1.0769,0.9800,1.0749,0.9750
44,1.0709,0.9792,1.0688,0.9775
45,1.0650,0.9814,1.0628,0.9775
46,1.0591,0.9803,1.0569,0.9775
47,1.0532,0.9814,1.0510,0.9775
48,1.0472,0.9806,1.0450,0.9800
49,1.0411,0.9811,1.0393,0.9775
50,1.0352,0.9822,1.0334,0.9775
51,1.0296,0.9803,1.0276,0.9800
52,1.0239,0.9814,1.0218,0.9800
53,1.0181,0.9808,1.0162,0.9800
54,1.0125,0.9806,1.0104,0.9825
55,1.0066,0.9819,1.0046,0.9825
56,1.0011,0.9833,0.9991,0.9825
57,0.9955,0.9814,0.9936,0.9825
58,0.9899,0.9828,0.9880,0.9825
59,0.9845,0.9811,0.9824,0.9825
60,0.9790,0.9825,0.9769,0.9825
61,0.9733,0.9817,0.9715,0.9825
62,0.9679,0.9831,0.9660,0.9825
63,0.9625,0.9814,0.9606,0.9825
64,0.9572,0.9825,0.9552,0.9825
65,0.9516,0.9831,0.9499,0.9825
66,0.9464,0.9825,0.9447,0.9825
67,0.9408,0.9833,0.9395,0.9825
68,0.9357,0.9847,0.9342,0.9825
69,0.9305,0.9844,0.9289,0.9825
70,0.9254,0.9831,0.9236,0.9825
71,0.9202,0.9853,0.9185,0.9825
72,0.9153,0.9847,0.9134,0.9825
73,0.9100,0.9833,0.9084,0.9825
74,0.9047,0.9836,0.9033,0.9850
75,0.8997,0.9847,0.8982,0.9850
76,0.8948,0.9844,0.8933,0.9850
77,0.8896,0.9844,0.8882,0.9850
78,0.8849,0.9842,0.8833,0.9850
79,0.8798,0.9847,0.8784,0.9850
80,0.8750,0.9844,0.8736,0.9850
81,0.8701,0.9842,0.8686,0.9850
82,0.8652,0.9842,0.8638,0.9850
83,0.8604,0.9842,0.8590,0.9850
84,0.8557,0.9850,0.8542,0.9850
85,0.8510,0.9844,0.8496,0.9850
86,0.8463,0.9847,0.8448,0.9850
87,0.8414,0.9847,0.8400,0.9850
88,0.8366,0.9844,0.8354,0.9850
89,0.8320,0.9850,0.8308,0.9850
90,0.8272,0.9856,0.8261,0.9850
91,0.8228,0.9853,0.8216,0.9850
92,0.8180,0.9858,0.8170,0.9850
93,0.8134,0.9858,0.8125,0.9850
94,0.8095,0.9847,0.8080,0.9850
95,0.8046,0.9853,0.8035,0.9850
96,0.8002,0.9853,0.7991,0.9850
97,0.7955,0.9850,0.7946,0.9850
98,0.7914,0.9853,0.7903,0.9850
99,0.7870,0.9850,0.7859,0.9850
100,0.7826,0.9853,0.7816,0.9850
