Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3024,0.3531,1.2702,0.5250
2,1.2294,0.6469,1.2013,0.6550
3,1.1631,0.7572,1.1387,0.7700
4,1.1025,0.8494,1.0816,0.8600
5,1.0476,0.8969,1.0294,0.9125
6,0.9973,0.9203,0.9815,0.9300
7,0.9511,0.9456,0.9374,0.9350
8,0.9085,0.9547,0.8967,0.9450
9,0.8692,0.9631,0.8592,0.9550
10,0.8330,0.9692,0.8243,0.9600
11,0.7995,0.9725,0.7920,0.9700
12,0.7686,0.9761,0.7619,0.9725
13,0.7391,0.9778,0.7339,0.9725
14,0.7119,0.9797,0.7076,0.9725
15,0.6868,0.9806,0.6830,0.9725
16,0.6629,0.9814,0.6600,0.9725
17,0.6406,0.9819,0.6385,0.9725
18,0.6199,0.9825,0.6182,0.9725
19,0.6003,0.9825,0.5990,0.9725
20,0.5815,0.9833,0.5810,0.9725
21,0.5642,0.9828,0.5640,0.9725
22,0.5478,0.9831,0.5479,0.9725
23,0.5320,0.9828,0.5326,0.9750
24,0.5172,0.9836,0.5182,0.9750
25,0.5029,0.9844,0.5045,0.9750
26,0.4897,0.9847,0.4915,0.9750
27,0.4771,0.9844,0.4791,0.9750
28,0.4652,0.9850,0.4673,0.9750
29,0.4537,0.9850,0.4561,0.9750
30,0.4427,0.9856,0.4454,0.9750
31,0.4328,0.9856,0.4352,0.9750
32,0.4224,0.9847,0.4254,0.9750
33,0.4127,0.9850,0.4161,0.9750
34,0.4036,0.9853,0.4072,0.9750
35,0.3950,0.9853,0.3987,0.9750
36,0.3864,0.9850,0.3905,0.9750
37,0.3788,0.9853,0.3827,0.9750
38,0.3713,0.9853,0.3751,0.9750
39,0.3639,0.9853,0.3679,0.9750
40,0.3568,0.9853,0.3610,0.9775
41,0.3498,0.9856,0.3543,0.9775
42,0.3435,0.9847,0.3479,0.9775
43,0.3378,0.9853,0.3417,0.9775
44,0.3314,0.9853,0.3358,0.9775
45,0.3255,0.9850,0.3300,0.9775
46,0.3200,0.9856,0.3245,0.9775
47,0.3146,0.9853,0.3191,0.9775
48,0.3092,0.9853,0.3140,0.9775
49,0.3040,0.9853,0.3090,0.9775
50,0.2994,0.9853,0.3042,0.9775
51,0.2945,0.9853,0.2995,0.9775
52,0.2901,0.9853,0.2950,0.9775
53,0.2855,0.9847,0.2907,0.9775
54,0.2810,0.9853,0.2864,0.9775
55,0.2773,0.9856,0.2823,0.9775
56,0.2729,0.9853,0.2784,0.9775
57,0.2691,0.9853,0.2745,0.9775
58,0.2654,0.9853,0.2708,0.9775
59,0.2619,0.9853,0.2672,0.9775
60,0.2586,0.9853,0.2637,0.9775
61,0.2548,0.9853,0.2603,0.9775
62,0.2515,0.9853,0.2569,0.9775
63,0.2481,0.9856,0.2537,0.9775
64,0.2452,0.9856,0.2506,0.9775
65,0.2418,0.9856,0.2476,0.9775
66,0.2394,0.9856,0.2446,0.9775
67,0.2364,0.9856,0.2417,0.9775
68,0.2333,0.9858,0.2389,0.9775
69,0.2306,0.9861,0.2362,0.9775
70,0.2279,0.9861,0.2335,0.9775
71,0.2250,0.9864,0.2309,0.9775
72,0.2228,0.9864,0.2284,0.9775
73,0.2203,0.9864,0.2260,0.9775
74,0.2178,0.9867,0.2236,0.9775
75,0.2153,0.9864,0.2212,0.9775
76,0.2133,0.9864,0.2189,0.9775
77,0.2109,0.9864,0.2167,0.9775
78,0.2089,0.9864,0.2145,0.9775
79,0.2064,0.9867,0.2124,0.9775
80,0.2042,0.9864,0.2103,0.9775
81,0.2023,0.9864,0.2083,0.9775
82,0.2003,0.9864,0.2063,0.9775
83,0.1986,0.9864,0.2043,0.9775
84,0.1962,0.9864,0.2025,0.9775
85,0.1944,0.9864,0.2006,0.9775
86,0.1930,0.9864,0.1988,0.9775
87,0.1911,0.9864,0.1970,0.9775
88,0.1894,0.9867,0.1953,0.9775
89,0.1876,0.9867,0.1936,0.9775
90,0.1856,0.9864,0.1919,0.9775
91,0.1842,0.9864,0.1903,0.9775
92,0.1824,0.9867,0.1887,0.9775
93,0.1811,0.9864,0.1871,0.9775
94,0.1796,0.9867,0.1856,0.9775
95,0.1785,0.9867,0.1841,0.9775
96,0.1767,0.9867,0.1826,0.9775
97,0.1754,0.9864,0.1811,0.9775
98,0.1737,0.9867,0.1797,0.9775
99,0.1719,0.9867,0.1783,0.9775
100,0.1709,0.9867,0.1770,0.9775
