Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3818,0.1164,1.3780,0.1525
2,1.3527,0.2111,1.3505,0.2275
3,1.3267,0.2572,1.3242,0.2700
4,1.2999,0.2994,1.2988,0.3450
5,1.2741,0.4106,1.2745,0.4175
6,1.2496,0.4956,1.2510,0.5050
7,1.2256,0.5700,1.2283,0.5725
8,1.2026,0.6247,1.2065,0.6150
9,1.1808,0.6572,1.1853,0.6375
10,1.1596,0.6814,1.1649,0.6500
11,1.1395,0.6986,1.1450,0.6700
12,1.1197,0.7114,1.1257,0.6825
13,1.0988,0.7250,1.1070,0.6900
14,1.0805,0.7392,1.0888,0.7175
15,1.0620,0.7547,1.0712,0.7425
16,1.0442,0.7708,1.0540,0.7575
17,1.0278,0.7892,1.0373,0.7675
18,1.0099,0.8056,1.0210,0.7750
19,0.9952,0.8167,1.0051,0.8000
20,0.9781,0.8311,0.9896,0.8125
21,0.9621,0.8428,0.9745,0.8225
22,0.9482,0.8533,0.9598,0.8425
23,0.9348,0.8600,0.9453,0.8550
24,0.9182,0.8742,0.9313,0.8625
25,0.9046,0.8844,0.9176,0.8725
26,0.8906,0.8922,0.9042,0.8750
27,0.8799,0.9014,0.8910,0.8850
28,0.8646,0.9083,0.8782,0.8875
29,0.8513,0.9144,0.8657,0.8900
30,0.8399,0.9208,0.8534,0.8950
31,0.8287,0.9281,0.8413,0.9000
32,0.8157,0.9308,0.8296,0.9050
33,0.8040,0.9356,0.8181,0.9200
34,0.7936,0.9378,0.8068,0.9200
35,0.7810,0.9411,0.7959,0.9225
36,0.7697,0.9447,0.7851,0.9300
37,0.7604,0.9481,0.7745,0.9375
38,0.7501,0.9500,0.7641,0.9350
39,0.7399,0.9525,0.7540,0.9375
40,0.7285,0.9542,0.7440,0.9375
41,0.7209,0.9561,0.7342,0.9375
42,0.7097,0.9561,0.7246,0.9375
43,0.6998,0.9594,0.7152,0.9425
44,0.6915,0.9614,0.7060,0.9450
45,0.6818,0.9619,0.6970,0.9450
46,0.6730,0.9636,0.6882,0.9475
47,0.6650,0.9656,0.6795,0.9475
48,0.6569,0.9675,0.6710,0.9475
49,0.6487,0.9683,0.6626,0.9525
50,0.6387,0.9697,0.6544,0.9550
51,0.6333,0.9700,0.6464,0.9575
52,0.6235,0.9708,0.6385,0.9575
53,0.6150,0.9714,0.6307,0.9575
54,0.6089,0.9717,0.6231,0.9600
55,0.6025,0.9728,0.6156,0.9600
56,0.5943,0.9728,0.6082,0.9600
57,0.5863,0.9731,0.6011,0.9600
58,0.5793,0.9731,0.5940,0.9600
59,0.5720,0.9736,0.5871,0.9625
60,0.5652,0.9744,0.5803,0.9625
61,0.5580,0.9747,0.5736,0.9625
62,0.5532,0.9747,0.5670,0.9625
63,0.5465,0.9753,0.5606,0.9650
64,0.5392,0.9756,0.5542,0.9650
65,0.5328,0.9758,0.5480,0.9650
66,0.5273,0.9764,0.5419,0.9675
67,0.5221,0.9767,0.5359,0.9675
68,0.5150,0.9767,0.5300,0.9675
69,0.5113,0.9769,0.5243,0.9675
70,0.5046,0.9769,0.5186,0.9675
71,0.4980,0.9778,0.5130,0.9700
72,0.4930,0.9786,0.5076,0.9700
73,0.4891,0.9786,0.5022,0.9700
74,0.4834,0.9789,0.4968,0.9700
75,0.4765,0.9789,0.4916,0.9700
76,0.4715,0.9789,0.4866,0.9700
77,0.4680,0.9797,0.4815,0.9700
78,0.4639,0.9797,0.4766,0.9700
79,0.4575,0.9803,0.4717,0.9700
80,0.4529,0.9800,0.4669,0.9700
81,0.4485,0.9800,0.4623,0.9700
82,0.4445,0.9800,0.4576,0.9700
83,0.4401,0.9806,0.4531,0.9700
84,0.4348,0.9808,0.4487,0.9700
85,0.4312,0.9817,0.4443,0.9700
86,0.4266,0.9822,0.4400,0.9700
87,0.4226,0.9825,0.4358,0.9725
88,0.4192,0.9828,0.4316,0.9725
89,0.4144,0.9825,0.4276,0.9725
90,0.4100,0.9819,0.4235,0.9725
91,0.4050,0.9825,0.4196,0.9725
92,0.4020,0.9822,0.4157,0.9725
93,0.3984,0.9822,0.4119,0.9725
94,0.3940,0.9822,0.4081,0.9725
95,0.3912,0.9819,0.4044,0.9725
96,0.3872,0.9819,0.4008,0.9725
97,0.3841,0.9819,0.3972,0.9725
98,0.3807,0.9822,0.3936,0.9725
99,0.3780,0.9825,0.3901,0.9725
100,0.3743,0.9825,0.3867,0.9725
