Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4117,0.2467,1.3746,0.2800
2,1.3484,0.4044,1.3205,0.5125
3,1.2947,0.5186,1.2733,0.5800
4,1.2472,0.6447,1.2303,0.7175
5,1.2034,0.7389,1.1903,0.7875
6,1.1630,0.8067,1.1526,0.8125
7,1.1252,0.8392,1.1169,0.8350
8,1.0895,0.8628,1.0829,0.8550
9,1.0557,0.8792,1.0505,0.8675
10,1.0228,0.8944,1.0193,0.8850
11,0.9920,0.9056,0.9895,0.8950
12,0.9623,0.9161,0.9608,0.9025
13,0.9340,0.9281,0.9332,0.9125
14,0.9066,0.9347,0.9067,0.9150
15,0.8810,0.9419,0.8812,0.9325
16,0.8559,0.9492,0.8567,0.9450
17,0.8317,0.9528,0.8331,0.9550
18,0.8088,0.9606,0.8103,0.9550
19,0.7860,0.9644,0.7884,0.9550
20,0.7649,0.9664,0.7673,0.9625
21,0.7440,0.9675,0.7469,0.9650
22,0.7246,0.9700,0.7273,0.9700
23,0.7054,0.9728,0.7083,0.9700
24,0.6865,0.9733,0.6901,0.9700
25,0.6688,0.9739,0.6725,0.9700
26,0.6519,0.9758,0.6556,0.9700
27,0.6355,0.9767,0.6393,0.9725
28,0.6194,0.9772,0.6236,0.9725
29,0.6042,0.9772,0.6084,0.9725
30,0.5894,0.9778,0.5937,0.9725
31,0.5753,0.9794,0.5796,0.9725
32,0.5615,0.9797,0.5661,0.9750
33,0.5482,0.9797,0.5530,0.9750
34,0.5357,0.9800,0.5403,0.9750
35,0.5230,0.9808,0.5282,0.9750
36,0.5114,0.9808,0.5164,0.9750
37,0.5005,0.9814,0.5051,0.9750
38,0.4891,0.9817,0.4941,0.9750
39,0.4785,0.9817,0.4836,0.9750
40,0.4677,0.9825,0.4734,0.9750
41,0.4583,0.9831,0.4635,0.9750
42,0.4488,0.9825,0.4541,0.9750
43,0.4396,0.9833,0.4449,0.9750
44,0.4311,0.9836,0.4360,0.9750
45,0.4220,0.9831,0.4275,0.9775
46,0.4138,0.9836,0.4192,0.9750
47,0.4058,0.9836,0.4112,0.9750
48,0.3978,0.9836,0.4034,0.9750
49,0.3904,0.9836,0.3959,0.9750
50,0.3832,0.9839,0.3887,0.9750
51,0.3761,0.9839,0.3817,0.9750
52,0.3694,0.9844,0.3749,0.9750
53,0.3625,0.9844,0.3684,0.9750
54,0.3567,0.9847,0.3620,0.9750
55,0.3506,0.9847,0.3559,0.9750
56,0.3448,0.9847,0.3500,0.9750
57,0.3396,0.9842,0.3442,0.9750
58,0.3332,0.9842,0.3386,0.9750
59,0.3275,0.9844,0.3332,0.9750
60,0.3226,0.9844,0.3280,0.9750
61,0.3175,0.9844,0.3229,0.9750
62,0.3127,0.9844,0.3180,0.9750
63,0.3077,0.9844,0.3132,0.9750
64,0.3028,0.9844,0.3086,0.9750
65,0.2986,0.9844,0.3041,0.9750
66,0.2940,0.9844,0.2997,0.9775
67,0.2899,0.9847,0.2954,0.9775
68,0.2855,0.9847,0.2913,0.9775
69,0.2817,0.9847,0.2873,0.9775
70,0.2777,0.9847,0.2834,0.9775
71,0.2742,0.9847,0.2795,0.9775
72,0.2703,0.9850,0.2758,0.9775
73,0.2666,0.9850,0.2722,0.9775
74,0.2632,0.9850,0.2687,0.9775
75,0.2595,0.9850,0.2653,0.9775
76,0.2566,0.9850,0.2620,0.9775
77,0.2536,0.9853,0.2588,0.9775
78,0.2501,0.9856,0.2557,0.9775
79,0.2471,0.9856,0.2526,0.9775
80,0.2440,0.9856,0.2496,0.9775
81,0.2410,0.9856,0.2467,0.9775
82,0.2382,0.9856,0.2438,0.9775
83,0.2354,0.9856,0.2411,0.9775
84,0.2327,0.9856,0.2384,0.9775
85,0.2300,0.9856,0.2357,0.9775
86,0.2275,0.9856,0.2331,0.9775
87,0.2251,0.9856,0.2306,0.9775
88,0.2225,0.9856,0.2282,0.9800
89,0.2204,0.9856,0.2258,0.9800
90,0.2178,0.9856,0.2234,0.9800
91,0.2155,0.9858,0.2211,0.9800
92,0.2135,0.9856,0.2189,0.9800
93,0.2111,0.9858,0.2167,0.9800
94,0.2089,0.9856,0.2146,0.9800
95,0.2065,0.9858,0.2125,0.9800
96,0.2050,0.9858,0.2104,0.9800
97,0.2029,0.9856,0.2084,0.9800
98,0.2011,0.9853,0.2065,0.9800
99,0.1990,0.9856,0.2046,0.9800
100,0.1970,0.9856,0.2027,0.9800
