Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3504,0.2628,1.3326,0.3025
2,1.2984,0.3850,1.2850,0.4300
3,1.2523,0.4886,1.2419,0.4750
4,1.2101,0.5128,1.2022,0.4975
5,1.1706,0.5239,1.1649,0.5250
6,1.1334,0.5433,1.1296,0.5350
7,1.0988,0.5564,1.0962,0.5475
8,1.0657,0.5753,1.0644,0.5575
9,1.0341,0.5944,1.0340,0.5875
10,1.0046,0.6175,1.0050,0.6525
11,0.9752,0.6778,0.9772,0.7150
12,0.9478,0.7486,0.9506,0.7850
13,0.9220,0.8075,0.9250,0.8300
14,0.8966,0.8533,0.9005,0.8650
15,0.8726,0.8719,0.8769,0.8825
16,0.8493,0.8953,0.8542,0.8900
17,0.8272,0.9067,0.8323,0.8975
18,0.8058,0.9178,0.8112,0.9100
19,0.7852,0.9283,0.7909,0.9125
20,0.7656,0.9328,0.7713,0.9200
21,0.7457,0.9403,0.7524,0.9275
22,0.7276,0.9444,0.7341,0.9275
23,0.7099,0.9486,0.7165,0.9375
24,0.6928,0.9514,0.6994,0.9375
25,0.6761,0.9556,0.6829,0.9450
26,0.6600,0.9581,0.6670,0.9525
27,0.6446,0.9614,0.6516,0.9600
28,0.6294,0.9633,0.6368,0.9625
29,0.6148,0.9658,0.6224,0.9625
30,0.6010,0.9672,0.6084,0.9625
31,0.5874,0.9692,0.5949,0.9650
32,0.5742,0.9697,0.5819,0.9650
33,0.5619,0.9711,0.5693,0.9675
34,0.5494,0.9728,0.5571,0.9675
35,0.5375,0.9736,0.5452,0.9650
36,0.5259,0.9753,0.5338,0.9650
37,0.5149,0.9758,0.5227,0.9700
38,0.5042,0.9764,0.5119,0.9700
39,0.4940,0.9769,0.5015,0.9700
40,0.4837,0.9772,0.4915,0.9725
41,0.4742,0.9775,0.4817,0.9725
42,0.4645,0.9775,0.4722,0.9725
43,0.4557,0.9772,0.4631,0.9725
44,0.4466,0.9781,0.4542,0.9725
45,0.4381,0.9781,0.4456,0.9725
46,0.4297,0.9783,0.4373,0.9725
47,0.4216,0.9786,0.4292,0.9725
48,0.4138,0.9792,0.4214,0.9725
49,0.4061,0.9792,0.4138,0.9725
50,0.3990,0.9800,0.4064,0.9725
51,0.3914,0.9800,0.3993,0.9725
52,0.3847,0.9806,0.3923,0.9725
53,0.3779,0.9814,0.3856,0.9725
54,0.3716,0.9814,0.3791,0.9725
55,0.3654,0.9819,0.3727,0.9725
56,0.3590,0.9814,0.3665,0.9725
57,0.3529,0.9819,0.3606,0.9725
58,0.3475,0.9822,0.3548,0.9725
59,0.3416,0.9825,0.3491,0.9725
60,0.3360,0.9825,0.3436,0.9725
61,0.3308,0.9825,0.3383,0.9725
62,0.3257,0.9831,0.3331,0.9725
63,0.3209,0.9833,0.3281,0.9725
64,0.3155,0.9836,0.3232,0.9725
65,0.3108,0.9836,0.3185,0.9725
66,0.3062,0.9833,0.3139,0.9725
67,0.3022,0.9839,0.3094,0.9725
68,0.2975,0.9836,0.3050,0.9725
69,0.2933,0.9836,0.3007,0.9725
70,0.2894,0.9839,0.2965,0.9750
71,0.2850,0.9842,0.2925,0.9750
72,0.2814,0.9839,0.2886,0.9750
73,0.2774,0.9839,0.2847,0.9750
74,0.2737,0.9842,0.2810,0.9750
75,0.2700,0.9844,0.2773,0.9750
76,0.2667,0.9844,0.2738,0.9750
77,0.2630,0.9844,0.2703,0.9750
78,0.2597,0.9850,0.2669,0.9750
79,0.2563,0.9850,0.2637,0.9750
80,0.2531,0.9853,0.2604,0.9750
81,0.2502,0.9853,0.2573,0.9750
82,0.2472,0.9856,0.2543,0.9750
83,0.2441,0.9856,0.2513,0.9750
84,0.2413,0.9856,0.2484,0.9750
85,0.2387,0.9853,0.2455,0.9750
86,0.2356,0.9856,0.2428,0.9750
87,0.2332,0.9850,0.2400,0.9750
88,0.2304,0.9850,0.2374,0.9750
89,0.2281,0.9853,0.2348,0.9750
90,0.2254,0.9853,0.2323,0.9750
91,0.2230,0.9853,0.2298,0.9750
92,0.2204,0.9853,0.2274,0.9750
93,0.2177,0.9853,0.2250,0.9750
94,0.2156,0.9853,0.2227,0.9750
95,0.2137,0.9853,0.2204,0.9750
96,0.2113,0.9853,0.2183,0.9750
97,0.2090,0.9853,0.2161,0.9750
98,0.2071,0.9853,0.2140,0.9750
99,0.2047,0.9850,0.2119,0.9750
100,0.2028,0.9853,0.2099,0.9750
