Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4194,0.0044,1.3871,0.0100
2,1.3589,0.1872,1.3334,0.3575
3,1.3067,0.4678,1.2860,0.4950
4,1.2600,0.5072,1.2433,0.5225
5,1.2176,0.5381,1.2040,0.5725
6,1.1786,0.5944,1.1673,0.6200
7,1.1424,0.6781,1.1327,0.7000
8,1.1074,0.7661,1.0998,0.7700
9,1.0748,0.8111,1.0685,0.8125
10,1.0435,0.8428,1.0385,0.8450
11,1.0133,0.8661,1.0096,0.8600
12,0.9842,0.8892,0.9819,0.8775
13,0.9571,0.9028,0.9553,0.9025
14,0.9307,0.9164,0.9295,0.9100
15,0.9051,0.9267,0.9047,0.9175
16,0.8805,0.9339,0.8807,0.9225
17,0.8571,0.9400,0.8576,0.9275
18,0.8343,0.9469,0.8352,0.9300
19,0.8121,0.9506,0.8136,0.9375
20,0.7908,0.9553,0.7928,0.9375
21,0.7704,0.9592,0.7726,0.9450
22,0.7505,0.9614,0.7531,0.9550
23,0.7312,0.9644,0.7343,0.9550
24,0.7127,0.9661,0.7161,0.9575
25,0.6954,0.9675,0.6985,0.9575
26,0.6778,0.9700,0.6814,0.9575
27,0.6613,0.9706,0.6650,0.9600
28,0.6452,0.9708,0.6491,0.9600
29,0.6297,0.9719,0.6337,0.9625
30,0.6147,0.9731,0.6189,0.9650
31,0.6005,0.9739,0.6045,0.9650
32,0.5863,0.9744,0.5907,0.9675
33,0.5728,0.9753,0.5773,0.9675
34,0.5599,0.9769,0.5643,0.9675
35,0.5474,0.9775,0.5518,0.9675
36,0.5351,0.9778,0.5396,0.9700
37,0.5233,0.9781,0.5279,0.9700
38,0.5122,0.9794,0.5166,0.9700
39,0.5013,0.9794,0.5057,0.9700
40,0.4901,0.9806,0.4951,0.9700
41,0.4803,0.9817,0.4849,0.9700
42,0.4703,0.9817,0.4750,0.9700
43,0.4602,0.9819,0.4654,0.9700
44,0.4514,0.9822,0.4562,0.9700
45,0.4422,0.9817,0.4472,0.9700
46,0.4335,0.9817,0.4386,0.9700
47,0.4248,0.9819,0.4302,0.9700
48,0.4168,0.9825,0.4221,0.9700
49,0.4088,0.9828,0.4143,0.9700
50,0.4011,0.9828,0.4067,0.9700
51,0.3941,0.9833,0.3994,0.9700
52,0.3864,0.9836,0.3923,0.9700
53,0.3799,0.9836,0.3854,0.9700
54,0.3734,0.9833,0.3787,0.9725
55,0.3673,0.9833,0.3722,0.9725
56,0.3605,0.9833,0.3660,0.9725
57,0.3543,0.9833,0.3599,0.9725
58,0.3485,0.9836,0.3540,0.9725
59,0.3430,0.9833,0.3483,0.9725
60,0.3373,0.9836,0.3427,0.9725
61,0.3316,0.9839,0.3374,0.9725
62,0.3266,0.9839,0.3321,0.9725
63,0.3217,0.9836,0.3271,0.9725
64,0.3170,0.9842,0.3221,0.9725
65,0.3118,0.9842,0.3174,0.9750
66,0.3067,0.9839,0.3127,0.9750
67,0.3028,0.9839,0.3082,0.9750
68,0.2981,0.9842,0.3039,0.9750
69,0.2938,0.9839,0.2996,0.9750
70,0.2899,0.9839,0.2955,0.9750
71,0.2854,0.9839,0.2914,0.9750
72,0.2816,0.9833,0.2875,0.9750
73,0.2775,0.9836,0.2837,0.9750
74,0.2742,0.9836,0.2800,0.9750
75,0.2704,0.9842,0.2764,0.9750
76,0.2666,0.9839,0.2729,0.9750
77,0.2637,0.9844,0.2695,0.9750
78,0.2601,0.9847,0.2661,0.9750
79,0.2568,0.9844,0.2629,0.9750
80,0.2536,0.9844,0.2597,0.9750
81,0.2506,0.9842,0.2566,0.9750
82,0.2474,0.9842,0.2536,0.9750
83,0.2447,0.9850,0.2506,0.9750
84,0.2419,0.9850,0.2478,0.9750
85,0.2385,0.9850,0.2450,0.9750
86,0.2360,0.9847,0.2423,0.9750
87,0.2333,0.9844,0.2396,0.9750
88,0.2308,0.9847,0.2370,0.9750
89,0.2285,0.9847,0.2344,0.9750
90,0.2264,0.9844,0.2320,0.9750
91,0.2232,0.9850,0.2295,0.9750
92,0.2209,0.9850,0.2272,0.9750
93,0.2185,0.9850,0.2249,0.9750
94,0.2163,0.9850,0.2226,0.9750
95,0.2142,0.9850,0.2204,0.9750
96,0.2119,0.9853,0.2182,0.9750
97,0.2100,0.9853,0.2161,0.9750
98,0.2078,0.9853,0.2140,0.9750
99,0.2057,0.9853,0.2120,0.9750
100,0.2035,0.9853,0.2100,0.9750
