Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3940,0.2525,1.3952,0.2275
2,1.3889,0.2525,1.3905,0.2275
3,1.3844,0.2525,1.3860,0.2275
4,1.3803,0.2525,1.3818,0.2275
5,1.3758,0.2525,1.3776,0.2275
6,1.3719,0.2525,1.3733,0.2275
7,1.3673,0.2525,1.3689,0.2275
8,1.3629,0.2525,1.3644,0.2275
9,1.3586,0.2678,1.3600,0.3025
10,1.3541,0.3483,1.3554,0.3550
11,1.3494,0.3986,1.3507,0.4000
12,1.3444,0.4361,1.3457,0.4200
13,1.3393,0.4547,1.3405,0.4375
14,1.3338,0.4692,1.3350,0.4500
15,1.3283,0.4744,1.3292,0.4550
16,1.3223,0.4794,1.3230,0.4625
17,1.3159,0.4847,1.3165,0.4625
18,1.3095,0.4869,1.3096,0.4675
19,1.3022,0.4922,1.3023,0.4750
20,1.2942,0.5061,1.2944,0.5000
21,1.2860,0.5192,1.2861,0.5225
22,1.2772,0.5411,1.2772,0.5525
23,1.2682,0.5633,1.2678,0.5725
24,1.2581,0.5967,1.2576,0.6275
25,1.2473,0.6506,1.2467,0.6775
26,1.2358,0.6842,1.2350,0.7100
27,1.2236,0.7114,1.2224,0.7400
28,1.2101,0.7375,1.2089,0.7650
29,1.1961,0.7550,1.1945,0.8050
30,1.1810,0.7794,1.1792,0.8150
31,1.1653,0.7928,1.1628,0.8275
32,1.1478,0.8072,1.1454,0.8375
33,1.1293,0.8236,1.1268,0.8525
34,1.1101,0.8369,1.1072,0.8575
35,1.0897,0.8456,1.0865,0.8575
36,1.0677,0.8561,1.0646,0.8675
37,1.0450,0.8681,1.0417,0.8775
38,1.0217,0.8769,1.0177,0.8775
39,0.9966,0.8850,0.9927,0.8825
40,0.9711,0.8942,0.9668,0.9125
41,0.9448,0.8997,0.9400,0.9150
42,0.9168,0.9094,0.9125,0.9175
43,0.8893,0.9169,0.8843,0.9275
44,0.8608,0.9256,0.8555,0.9300
45,0.8312,0.9325,0.8261,0.9375
46,0.8019,0.9356,0.7963,0.9450
47,0.7722,0.9422,0.7661,0.9500
48,0.7413,0.9481,0.7357,0.9525
49,0.7113,0.9525,0.7050,0.9600
50,0.6803,0.9564,0.6743,0.9650
51,0.6502,0.9614,0.6439,0.9750
52,0.6200,0.9661,0.6139,0.9775
53,0.5905,0.9706,0.5844,0.9775
54,0.5616,0.9742,0.5557,0.9775
55,0.5333,0.9769,0.5277,0.9800
56,0.5062,0.9792,0.5008,0.9800
57,0.4803,0.9806,0.4748,0.9800
58,0.4547,0.9819,0.4498,0.9800
59,0.4303,0.9831,0.4260,0.9800
60,0.4067,0.9844,0.4033,0.9800
61,0.3851,0.9839,0.3819,0.9825
62,0.3649,0.9844,0.3617,0.9825
63,0.3453,0.9853,0.3426,0.9825
64,0.3273,0.9861,0.3247,0.9825
65,0.3097,0.9858,0.3081,0.9850
66,0.2941,0.9861,0.2925,0.9850
67,0.2795,0.9861,0.2782,0.9850
68,0.2654,0.9869,0.2646,0.9850
69,0.2529,0.9869,0.2520,0.9850
70,0.2415,0.9864,0.2403,0.9850
71,0.2299,0.9869,0.2295,0.9875
72,0.2196,0.9869,0.2194,0.9875
73,0.2106,0.9867,0.2100,0.9875
74,0.2014,0.9867,0.2013,0.9875
75,0.1933,0.9864,0.1932,0.9875
76,0.1854,0.9867,0.1857,0.9875
77,0.1785,0.9869,0.1786,0.9875
78,0.1717,0.9872,0.1722,0.9875
79,0.1655,0.9872,0.1661,0.9875
80,0.1604,0.9869,0.1604,0.9875
81,0.1546,0.9872,0.1550,0.9875
82,0.1498,0.9872,0.1500,0.9850
83,0.1449,0.9872,0.1453,0.9850
84,0.1405,0.9869,0.1410,0.9850
85,0.1362,0.9869,0.1368,0.9850
86,0.1323,0.9872,0.1330,0.9850
87,0.1290,0.9878,0.1293,0.9850
88,0.1256,0.9878,0.1260,0.9850
89,0.1220,0.9875,0.1227,0.9875
90,0.1190,0.9878,0.1197,0.9875
91,0.1162,0.9875,0.1168,0.9875
92,0.1133,0.9878,0.1141,0.9875
93,0.1110,0.9881,0.1115,0.9875
94,0.1084,0.9881,0.1091,0.9875
95,0.1060,0.9875,0.1068,0.9875
96,0.1038,0.9878,0.1046,0.9875
97,0.1018,0.9881,0.1024,0.9875
98,0.0998,0.9881,0.1006,0.9875
99,0.0978,0.9883,0.0987,0.9875
100,0.0960,0.9878,0.0968,0.9875
