Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.4628,0.9308,0.1876,0.9750
2,0.1333,0.9836,0.1114,0.9775
3,0.0903,0.9850,0.0862,0.9800
4,0.0727,0.9856,0.0761,0.9775
5,0.0639,0.9856,0.0695,0.9775
6,0.0589,0.9847,0.0645,0.9775
7,0.0543,0.9850,0.0586,0.9800
8,0.0512,0.9861,0.0550,0.9800
9,0.0491,0.9858,0.0544,0.9800
10,0.0472,0.9861,0.0551,0.9800
11,0.0461,0.9856,0.0516,0.9825
12,0.0445,0.9844,0.0493,0.9825
13,0.0439,0.9853,0.0507,0.9800
14,0.0429,0.9853,0.0499,0.9825
15,0.0425,0.9861,0.0487,0.9825
16,0.0419,0.9856,0.0472,0.9850
17,0.0415,0.9864,0.0472,0.9875
18,0.0411,0.9847,0.0468,0.9850
19,0.0406,0.9864,0.0465,0.9825
20,0.0401,0.9850,0.0466,0.9875
21,0.0396,0.9864,0.0448,0.9850
22,0.0395,0.9858,0.0438,0.9850
23,0.0392,0.9861,0.0454,0.9825
24,0.0390,0.9864,0.0445,0.9875
25,0.0389,0.9858,0.0453,0.9850
26,0.0385,0.9853,0.0468,0.9875
27,0.0386,0.9861,0.0430,0.9850
28,0.0382,0.9869,0.0435,0.9850
29,0.0381,0.9864,0.0450,0.9850
30,0.0379,0.9867,0.0455,0.9850
31,0.0380,0.9861,0.0438,0.9825
32,0.0377,0.9853,0.0443,0.9875
33,0.0379,0.9861,0.0459,0.9850
34,0.0373,0.9864,0.0449,0.9825
35,0.0375,0.9858,0.0422,0.9850
36,0.0376,0.9867,0.0433,0.9850
37,0.0374,0.9867,0.0434,0.9850
38,0.0372,0.9861,0.0433,0.9850
39,0.0374,0.9861,0.0440,0.9875
40,0.0379,0.9856,0.0446,0.9850
41,0.0373,0.9861,0.0429,0.9875
42,0.0378,0.9856,0.0444,0.9850
43,0.0369,0.9864,0.0434,0.9875
44,0.0368,0.9858,0.0430,0.9875
45,0.0371,0.9861,0.0434,0.9850
46,0.0375,0.9858,0.0417,0.9875
47,0.0366,0.9869,0.0433,0.9850
48,0.0364,0.9869,0.0440,0.9875
49,0.0367,0.9858,0.0413,0.9850
50,0.0366,0.9878,0.0423,0.9850
51,0.0368,0.9853,0.0435,0.9850
52,0.0367,0.9856,0.0446,0.9850
53,0.0367,0.9861,0.0418,0.9850
54,0.0364,0.9858,0.0434,0.9825
55,0.0360,0.9878,0.0475,0.9800
56,0.0365,0.9861,0.0428,0.9875
57,0.0365,0.9869,0.0435,0.9825
58,0.0366,0.9853,0.0428,0.9875
59,0.0363,0.9872,0.0436,0.9825
60,0.0364,0.9858,0.0426,0.9875
61,0.0361,0.9867,0.0424,0.9875
62,0.0361,0.9861,0.0388,0.9850
63,0.0365,0.9864,0.0395,0.9875
64,0.0359,0.9853,0.0411,0.9875
65,0.0365,0.9861,0.0405,0.9875
66,0.0363,0.9856,0.0411,0.9875
67,0.0362,0.9864,0.0401,0.9875
68,0.0361,0.9878,0.0402,0.9875
69,0.0361,0.9864,0.0417,0.9900
70,0.0356,0.9856,0.0427,0.9875
71,0.0361,0.9864,0.0434,0.9850
72,0.0363,0.9858,0.0399,0.9850
73,0.0360,0.9869,0.0406,0.9875
74,0.0367,0.9864,0.0444,0.9825
75,0.0357,0.9867,0.0404,0.9875
76,0.0360,0.9867,0.0419,0.9875
77,0.0358,0.9856,0.0438,0.9825
78,0.0360,0.9872,0.0425,0.9875
79,0.0358,0.9861,0.0406,0.9850
80,0.0359,0.9861,0.0415,0.9875
81,0.0365,0.9867,0.0416,0.9875
82,0.0359,0.9861,0.0436,0.9825
83,0.0364,0.9869,0.0403,0.9850
84,0.0362,0.9861,0.0419,0.9875
85,0.0361,0.9861,0.0413,0.9900
86,0.0357,0.9864,0.0419,0.9875
87,0.0370,0.9872,0.0423,0.9850
88,0.0366,0.9844,0.0428,0.9875
89,0.0361,0.9864,0.0407,0.9875
90,0.0358,0.9867,0.0414,0.9875
91,0.0359,0.9853,0.0429,0.9875
92,0.0363,0.9858,0.0420,0.9875
93,0.0360,0.9858,0.0435,0.9850
94,0.0355,0.9869,0.0441,0.9850
95,0.0358,0.9858,0.0393,0.9875
96,0.0371,0.9864,0.0430,0.9850
97,0.0359,0.9861,0.0438,0.9850
98,0.0361,0.9869,0.0411,0.9900
99,0.0357,0.9867,0.0470,0.9800
100,0.0362,0.9858,0.0412,0.9875
