epoch,train_loss,train_acc,test_loss,test_acc
1,0.6930888355255127,0.4975,0.6929712438583374,0.4945
2,0.6929262323379517,0.5157,0.6927198767662048,0.5255
3,0.6928185187339783,0.5255,0.6924347620010376,0.5405
4,0.6925224456787109,0.5363,0.6920881471633911,0.5405
5,0.6922472363471985,0.5733,0.6916429524421692,0.6445
6,0.6919104682922363,0.5534,0.6910405058860779,0.68
7,0.6913186468124389,0.5761,0.6901746382713317,0.6235
8,0.6903510125160217,0.6291,0.6888653635978699,0.6625
9,0.6889927443504333,0.63,0.6868027768135071,0.662
10,0.6867184219360352,0.6157,0.6833036670684814,0.6695
11,0.6824253564834595,0.6236,0.6768887796401978,0.6695
12,0.6743288761138916,0.6402,0.664073278427124,0.666
13,0.656604235458374,0.6519,0.6375716996192932,0.677
14,0.6207236810684205,0.6914,0.5885020093917847,0.7165
15,0.5629833866119385,0.7286,0.5293069276809692,0.7555
16,0.5089763363838196,0.7593,0.47920622444152833,0.781
17,0.4541482765674591,0.7922,0.4280180125236511,0.8115
18,0.4047497259140015,0.8237,0.39199785780906676,0.826
19,0.3710198001384735,0.838,0.3598839430809021,0.8425
20,0.33446949853897096,0.8599,0.3276905653476715,0.8595
21,0.3146430648803711,0.8681,0.31380902683734896,0.8655
22,0.28762314671278,0.8821,0.2813980553150177,0.884
23,0.27094307837486264,0.8889,0.2682179751992226,0.8925
24,0.2502375941991806,0.8988,0.24852829271554946,0.898
25,0.23461914432048797,0.9072,0.23855930560827254,0.907
26,0.22000942187309266,0.9144,0.21528245222568512,0.914
27,0.20581260743141175,0.9191,0.21405936601758002,0.916
28,0.18829535509347917,0.9277,0.19800618404150008,0.9185
29,0.1764608605861664,0.9338,0.1819363494515419,0.9305
30,0.1632217602968216,0.9395,0.1767137210071087,0.9335
31,0.15495822854042055,0.9429,0.15793063163757323,0.9385
32,0.14432099274396895,0.9431,0.1530076690018177,0.9415
33,0.1326321070075035,0.9512,0.1471978663802147,0.9445
34,0.1252897734642029,0.9533,0.13395495055615902,0.9495
35,0.11317692603766918,0.9552,0.134580462500453,0.9485
36,0.10990516800880432,0.9594,0.14558196407556534,0.9455
37,0.0983716609954834,0.9635,0.1183235519900918,0.953
38,0.09349085510969161,0.9647,0.11902139768749476,0.9555
39,0.08741645370125771,0.9689,0.1259193013459444,0.956
40,0.08353320323228836,0.97,0.12344228695333004,0.955
41,0.07413899508416652,0.9734,0.11186056715250016,0.9615
42,0.06836568814516067,0.9774,0.10981165523827076,0.9625
43,0.06982196999788284,0.9742,0.10634574276581407,0.965
44,0.0644797528296709,0.978,0.10708444889634848,0.961
45,0.058424580484628674,0.9779,0.11852561681717634,0.9575
46,0.05853397709131241,0.9792,0.10660588558204472,0.9625
47,0.0568897720888257,0.9789,0.09590481048822402,0.965
48,0.04504915863275528,0.9856,0.10920423264801503,0.9645
49,0.04987210323065519,0.9821,0.0926998283341527,0.9675
50,0.047644816363602877,0.9828,0.10073241251707077,0.966
