====================
Model: EDSR
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.0659 | train_psnr=16.95 dB | val_loss=0.0121 | val_psnr=22.31 dB | time=3.2s
[Epoch 002] train_loss=0.0153 | train_psnr=22.31 dB | val_loss=0.0065 | val_psnr=24.82 dB | time=2.5s
[Epoch 003] train_loss=0.0096 | train_psnr=25.15 dB | val_loss=0.0042 | val_psnr=26.80 dB | time=2.5s
[Epoch 004] train_loss=0.0070 | train_psnr=26.93 dB | val_loss=0.0030 | val_psnr=28.57 dB | time=2.5s
[Epoch 005] train_loss=0.0050 | train_psnr=28.11 dB | val_loss=0.0022 | val_psnr=29.65 dB | time=2.5s
[Epoch 006] train_loss=0.0037 | train_psnr=28.70 dB | val_loss=0.0019 | val_psnr=30.32 dB | time=2.5s
[Epoch 007] train_loss=0.0031 | train_psnr=29.42 dB | val_loss=0.0016 | val_psnr=30.93 dB | time=2.5s
[Epoch 008] train_loss=0.0026 | train_psnr=30.15 dB | val_loss=0.0015 | val_psnr=31.38 dB | time=2.4s
[Epoch 009] train_loss=0.0024 | train_psnr=30.62 dB | val_loss=0.0013 | val_psnr=31.76 dB | time=2.4s
[Epoch 010] train_loss=0.0023 | train_psnr=31.01 dB | val_loss=0.0012 | val_psnr=32.03 dB | time=2.4s
[Epoch 011] train_loss=0.0022 | train_psnr=31.18 dB | val_loss=0.0012 | val_psnr=32.30 dB | time=2.4s
[Epoch 012] train_loss=0.0021 | train_psnr=31.51 dB | val_loss=0.0011 | val_psnr=32.53 dB | time=2.4s
[Epoch 013] train_loss=0.0020 | train_psnr=31.70 dB | val_loss=0.0011 | val_psnr=32.69 dB | time=2.4s
[Epoch 014] train_loss=0.0018 | train_psnr=31.93 dB | val_loss=0.0010 | val_psnr=32.87 dB | time=2.5s
[Epoch 015] train_loss=0.0018 | train_psnr=32.14 dB | val_loss=0.0010 | val_psnr=33.03 dB | time=2.3s
[Epoch 016] train_loss=0.0017 | train_psnr=32.11 dB | val_loss=0.0009 | val_psnr=33.16 dB | time=2.4s
[Epoch 017] train_loss=0.0016 | train_psnr=32.32 dB | val_loss=0.0009 | val_psnr=33.29 dB | time=2.4s
[Epoch 018] train_loss=0.0016 | train_psnr=32.28 dB | val_loss=0.0009 | val_psnr=33.31 dB | time=2.7s
[Epoch 019] train_loss=0.0016 | train_psnr=32.24 dB | val_loss=0.0009 | val_psnr=33.42 dB | time=3.0s
[Epoch 020] train_loss=0.0016 | train_psnr=32.48 dB | val_loss=0.0008 | val_psnr=33.51 dB | time=2.9s
[Epoch 021] train_loss=0.0015 | train_psnr=32.64 dB | val_loss=0.0008 | val_psnr=33.64 dB | time=3.0s
[Epoch 022] train_loss=0.0015 | train_psnr=32.56 dB | val_loss=0.0008 | val_psnr=33.68 dB | time=3.0s
[Epoch 023] train_loss=0.0014 | train_psnr=32.74 dB | val_loss=0.0008 | val_psnr=33.77 dB | time=3.1s
[Epoch 024] train_loss=0.0014 | train_psnr=32.84 dB | val_loss=0.0008 | val_psnr=33.85 dB | time=3.0s
[Epoch 025] train_loss=0.0013 | train_psnr=33.00 dB | val_loss=0.0007 | val_psnr=33.91 dB | time=2.9s
[Epoch 026] train_loss=0.0013 | train_psnr=33.01 dB | val_loss=0.0007 | val_psnr=33.95 dB | time=3.0s
[Epoch 027] train_loss=0.0013 | train_psnr=33.01 dB | val_loss=0.0007 | val_psnr=34.03 dB | time=2.8s
[Epoch 028] train_loss=0.0013 | train_psnr=33.10 dB | val_loss=0.0007 | val_psnr=34.03 dB | time=3.0s
[Epoch 029] train_loss=0.0012 | train_psnr=33.24 dB | val_loss=0.0007 | val_psnr=34.13 dB | time=3.3s
[Epoch 030] train_loss=0.0012 | train_psnr=33.13 dB | val_loss=0.0007 | val_psnr=34.15 dB | time=2.6s
[Epoch 031] train_loss=0.0013 | train_psnr=32.91 dB | val_loss=0.0007 | val_psnr=34.22 dB | time=2.9s
[Epoch 032] train_loss=0.0012 | train_psnr=33.21 dB | val_loss=0.0007 | val_psnr=34.20 dB | time=2.9s
[Epoch 033] train_loss=0.0012 | train_psnr=33.28 dB | val_loss=0.0007 | val_psnr=34.29 dB | time=2.9s
[Epoch 034] train_loss=0.0012 | train_psnr=33.20 dB | val_loss=0.0007 | val_psnr=34.33 dB | time=3.1s
[Epoch 035] train_loss=0.0012 | train_psnr=33.31 dB | val_loss=0.0007 | val_psnr=34.36 dB | time=3.2s
[Epoch 036] train_loss=0.0011 | train_psnr=33.41 dB | val_loss=0.0006 | val_psnr=34.39 dB | time=2.2s
[Epoch 037] train_loss=0.0011 | train_psnr=33.34 dB | val_loss=0.0006 | val_psnr=34.42 dB | time=2.5s
[Epoch 038] train_loss=0.0011 | train_psnr=33.43 dB | val_loss=0.0006 | val_psnr=34.44 dB | time=2.5s
[Epoch 039] train_loss=0.0011 | train_psnr=33.51 dB | val_loss=0.0006 | val_psnr=34.47 dB | time=2.4s
[Epoch 040] train_loss=0.0011 | train_psnr=33.49 dB | val_loss=0.0006 | val_psnr=34.46 dB | time=2.5s
[Epoch 041] train_loss=0.0011 | train_psnr=33.54 dB | val_loss=0.0006 | val_psnr=34.50 dB | time=2.5s
[Epoch 042] train_loss=0.0011 | train_psnr=33.62 dB | val_loss=0.0006 | val_psnr=34.53 dB | time=2.4s
[Epoch 043] train_loss=0.0010 | train_psnr=33.62 dB | val_loss=0.0006 | val_psnr=34.54 dB | time=2.4s
[Epoch 044] train_loss=0.0011 | train_psnr=33.57 dB | val_loss=0.0006 | val_psnr=34.57 dB | time=2.4s
[Epoch 045] train_loss=0.0010 | train_psnr=33.51 dB | val_loss=0.0006 | val_psnr=34.59 dB | time=2.3s
[Epoch 046] train_loss=0.0010 | train_psnr=33.80 dB | val_loss=0.0006 | val_psnr=34.59 dB | time=2.5s
[Epoch 047] train_loss=0.0010 | train_psnr=33.73 dB | val_loss=0.0006 | val_psnr=34.63 dB | time=2.2s
[Epoch 048] train_loss=0.0011 | train_psnr=33.60 dB | val_loss=0.0006 | val_psnr=34.64 dB | time=2.5s
[Epoch 049] train_loss=0.0010 | train_psnr=33.62 dB | val_loss=0.0006 | val_psnr=34.63 dB | time=2.4s
[Epoch 050] train_loss=0.0010 | train_psnr=33.74 dB | val_loss=0.0006 | val_psnr=34.67 dB | time=2.3s
[Epoch 051] train_loss=0.0010 | train_psnr=33.77 dB | val_loss=0.0006 | val_psnr=34.68 dB | time=2.4s
[Epoch 052] train_loss=0.0010 | train_psnr=33.72 dB | val_loss=0.0006 | val_psnr=34.70 dB | time=2.3s
[Epoch 053] train_loss=0.0009 | train_psnr=33.82 dB | val_loss=0.0006 | val_psnr=34.72 dB | time=2.4s
[Epoch 054] train_loss=0.0010 | train_psnr=33.72 dB | val_loss=0.0006 | val_psnr=34.72 dB | time=2.5s
[Epoch 055] train_loss=0.0010 | train_psnr=33.72 dB | val_loss=0.0006 | val_psnr=34.72 dB | time=2.5s
[Epoch 056] train_loss=0.0010 | train_psnr=33.56 dB | val_loss=0.0006 | val_psnr=34.71 dB | time=2.5s
[Epoch 057] train_loss=0.0010 | train_psnr=33.35 dB | val_loss=0.0006 | val_psnr=34.70 dB | time=2.4s
[Epoch 058] train_loss=0.0010 | train_psnr=33.74 dB | val_loss=0.0006 | val_psnr=34.73 dB | time=2.4s
[Epoch 059] train_loss=0.0010 | train_psnr=33.86 dB | val_loss=0.0006 | val_psnr=34.77 dB | time=2.5s
[Epoch 060] train_loss=0.0009 | train_psnr=33.86 dB | val_loss=0.0006 | val_psnr=34.77 dB | time=2.5s
[Epoch 061] train_loss=0.0009 | train_psnr=33.81 dB | val_loss=0.0006 | val_psnr=34.79 dB | time=2.4s
[Epoch 062] train_loss=0.0009 | train_psnr=33.82 dB | val_loss=0.0006 | val_psnr=34.78 dB | time=2.5s
[Epoch 063] train_loss=0.0010 | train_psnr=33.90 dB | val_loss=0.0006 | val_psnr=34.81 dB | time=2.5s
[Epoch 064] train_loss=0.0009 | train_psnr=33.85 dB | val_loss=0.0006 | val_psnr=34.81 dB | time=2.5s
[Epoch 065] train_loss=0.0009 | train_psnr=34.02 dB | val_loss=0.0006 | val_psnr=34.83 dB | time=2.5s
[Epoch 066] train_loss=0.0009 | train_psnr=33.96 dB | val_loss=0.0006 | val_psnr=34.82 dB | time=2.5s
[Epoch 067] train_loss=0.0010 | train_psnr=33.81 dB | val_loss=0.0006 | val_psnr=34.84 dB | time=2.5s
[Epoch 068] train_loss=0.0009 | train_psnr=33.96 dB | val_loss=0.0006 | val_psnr=34.84 dB | time=2.5s
[Epoch 069] train_loss=0.0009 | train_psnr=33.78 dB | val_loss=0.0005 | val_psnr=34.85 dB | time=2.5s
[Epoch 070] train_loss=0.0009 | train_psnr=33.92 dB | val_loss=0.0005 | val_psnr=34.85 dB | time=2.5s
[Epoch 071] train_loss=0.0009 | train_psnr=33.91 dB | val_loss=0.0005 | val_psnr=34.87 dB | time=2.4s
[Epoch 072] train_loss=0.0009 | train_psnr=33.89 dB | val_loss=0.0005 | val_psnr=34.88 dB | time=2.5s
[Epoch 073] train_loss=0.0009 | train_psnr=33.87 dB | val_loss=0.0005 | val_psnr=34.77 dB | time=2.5s
[Epoch 074] train_loss=0.0009 | train_psnr=33.92 dB | val_loss=0.0005 | val_psnr=34.89 dB | time=2.4s
[Epoch 075] train_loss=0.0009 | train_psnr=33.96 dB | val_loss=0.0005 | val_psnr=34.89 dB | time=2.4s
[Epoch 076] train_loss=0.0009 | train_psnr=33.94 dB | val_loss=0.0005 | val_psnr=34.90 dB | time=2.4s
[Epoch 077] train_loss=0.0009 | train_psnr=33.93 dB | val_loss=0.0005 | val_psnr=34.84 dB | time=2.5s
[Epoch 078] train_loss=0.0009 | train_psnr=34.02 dB | val_loss=0.0005 | val_psnr=34.91 dB | time=2.4s
[Epoch 079] train_loss=0.0009 | train_psnr=33.96 dB | val_loss=0.0005 | val_psnr=34.90 dB | time=2.5s
[Epoch 080] train_loss=0.0009 | train_psnr=33.85 dB | val_loss=0.0005 | val_psnr=34.90 dB | time=2.5s
[Epoch 081] train_loss=0.0009 | train_psnr=33.85 dB | val_loss=0.0005 | val_psnr=34.92 dB | time=2.5s
[Epoch 082] train_loss=0.0009 | train_psnr=34.04 dB | val_loss=0.0005 | val_psnr=34.92 dB | time=2.5s
[Epoch 083] train_loss=0.0009 | train_psnr=33.86 dB | val_loss=0.0005 | val_psnr=34.93 dB | time=2.4s
[Epoch 084] train_loss=0.0008 | train_psnr=33.94 dB | val_loss=0.0005 | val_psnr=34.93 dB | time=2.4s
[Epoch 085] train_loss=0.0009 | train_psnr=33.91 dB | val_loss=0.0005 | val_psnr=34.92 dB | time=2.5s
[Epoch 086] train_loss=0.0009 | train_psnr=33.73 dB | val_loss=0.0005 | val_psnr=34.93 dB | time=2.4s
[Epoch 087] train_loss=0.0009 | train_psnr=33.93 dB | val_loss=0.0005 | val_psnr=34.94 dB | time=2.4s
[Epoch 088] train_loss=0.0008 | train_psnr=34.18 dB | val_loss=0.0005 | val_psnr=34.96 dB | time=2.3s
[Epoch 089] train_loss=0.0009 | train_psnr=34.05 dB | val_loss=0.0005 | val_psnr=34.94 dB | time=2.3s
[Epoch 090] train_loss=0.0009 | train_psnr=34.05 dB | val_loss=0.0005 | val_psnr=34.95 dB | time=2.4s
[Epoch 091] train_loss=0.0009 | train_psnr=33.94 dB | val_loss=0.0005 | val_psnr=34.95 dB | time=2.4s
[Epoch 092] train_loss=0.0009 | train_psnr=34.03 dB | val_loss=0.0005 | val_psnr=34.98 dB | time=2.5s
[Epoch 093] train_loss=0.0009 | train_psnr=34.01 dB | val_loss=0.0005 | val_psnr=34.94 dB | time=2.3s
[Epoch 094] train_loss=0.0009 | train_psnr=33.94 dB | val_loss=0.0005 | val_psnr=34.88 dB | time=2.4s
[Epoch 095] train_loss=0.0009 | train_psnr=33.97 dB | val_loss=0.0005 | val_psnr=34.97 dB | time=2.5s
