====================
Model: ESPCN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.4515 | train_psnr=9.80 dB | val_loss=0.0892 | val_psnr=14.92 dB | time=2.5s
[Epoch 002] train_loss=0.1102 | train_psnr=14.50 dB | val_loss=0.0612 | val_psnr=15.33 dB | time=1.7s
[Epoch 003] train_loss=0.0822 | train_psnr=15.60 dB | val_loss=0.0476 | val_psnr=16.58 dB | time=1.6s
[Epoch 004] train_loss=0.0664 | train_psnr=16.20 dB | val_loss=0.0412 | val_psnr=16.99 dB | time=1.6s
[Epoch 005] train_loss=0.0575 | train_psnr=16.67 dB | val_loss=0.0360 | val_psnr=17.48 dB | time=1.7s
[Epoch 006] train_loss=0.0507 | train_psnr=17.08 dB | val_loss=0.0322 | val_psnr=17.85 dB | time=1.7s
[Epoch 007] train_loss=0.0463 | train_psnr=17.45 dB | val_loss=0.0287 | val_psnr=18.35 dB | time=1.6s
[Epoch 008] train_loss=0.0412 | train_psnr=17.83 dB | val_loss=0.0258 | val_psnr=18.83 dB | time=1.6s
[Epoch 009] train_loss=0.0378 | train_psnr=18.26 dB | val_loss=0.0234 | val_psnr=19.18 dB | time=1.7s
[Epoch 010] train_loss=0.0340 | train_psnr=18.69 dB | val_loss=0.0215 | val_psnr=19.60 dB | time=1.6s
[Epoch 011] train_loss=0.0319 | train_psnr=18.93 dB | val_loss=0.0200 | val_psnr=19.80 dB | time=1.7s
[Epoch 012] train_loss=0.0291 | train_psnr=19.30 dB | val_loss=0.0185 | val_psnr=20.17 dB | time=1.6s
[Epoch 013] train_loss=0.0271 | train_psnr=19.61 dB | val_loss=0.0171 | val_psnr=20.65 dB | time=1.7s
[Epoch 014] train_loss=0.0252 | train_psnr=19.90 dB | val_loss=0.0161 | val_psnr=20.91 dB | time=1.6s
[Epoch 015] train_loss=0.0237 | train_psnr=20.20 dB | val_loss=0.0152 | val_psnr=21.11 dB | time=1.6s
[Epoch 016] train_loss=0.0224 | train_psnr=20.38 dB | val_loss=0.0142 | val_psnr=21.49 dB | time=1.7s
[Epoch 017] train_loss=0.0208 | train_psnr=20.69 dB | val_loss=0.0134 | val_psnr=21.78 dB | time=1.6s
[Epoch 018] train_loss=0.0195 | train_psnr=21.07 dB | val_loss=0.0127 | val_psnr=22.06 dB | time=1.6s
[Epoch 019] train_loss=0.0189 | train_psnr=21.07 dB | val_loss=0.0121 | val_psnr=22.23 dB | time=1.6s
[Epoch 020] train_loss=0.0178 | train_psnr=21.40 dB | val_loss=0.0115 | val_psnr=22.48 dB | time=1.7s
[Epoch 021] train_loss=0.0169 | train_psnr=21.67 dB | val_loss=0.0110 | val_psnr=22.71 dB | time=1.6s
[Epoch 022] train_loss=0.0161 | train_psnr=21.83 dB | val_loss=0.0105 | val_psnr=22.86 dB | time=1.6s
[Epoch 023] train_loss=0.0154 | train_psnr=22.01 dB | val_loss=0.0101 | val_psnr=23.05 dB | time=1.6s
[Epoch 024] train_loss=0.0148 | train_psnr=22.15 dB | val_loss=0.0096 | val_psnr=23.42 dB | time=1.7s
[Epoch 025] train_loss=0.0140 | train_psnr=22.37 dB | val_loss=0.0092 | val_psnr=23.67 dB | time=1.7s
[Epoch 026] train_loss=0.0132 | train_psnr=22.72 dB | val_loss=0.0089 | val_psnr=23.74 dB | time=1.6s
[Epoch 027] train_loss=0.0130 | train_psnr=22.67 dB | val_loss=0.0085 | val_psnr=24.04 dB | time=1.7s
[Epoch 028] train_loss=0.0125 | train_psnr=22.83 dB | val_loss=0.0083 | val_psnr=24.17 dB | time=1.6s
[Epoch 029] train_loss=0.0121 | train_psnr=23.03 dB | val_loss=0.0080 | val_psnr=24.33 dB | time=1.7s
[Epoch 030] train_loss=0.0119 | train_psnr=23.15 dB | val_loss=0.0078 | val_psnr=24.60 dB | time=1.6s
[Epoch 031] train_loss=0.0115 | train_psnr=23.24 dB | val_loss=0.0076 | val_psnr=24.63 dB | time=1.6s
[Epoch 032] train_loss=0.0110 | train_psnr=23.48 dB | val_loss=0.0073 | val_psnr=24.88 dB | time=1.7s
[Epoch 033] train_loss=0.0107 | train_psnr=23.58 dB | val_loss=0.0071 | val_psnr=25.02 dB | time=1.6s
[Epoch 034] train_loss=0.0106 | train_psnr=23.60 dB | val_loss=0.0070 | val_psnr=25.15 dB | time=1.6s
[Epoch 035] train_loss=0.0102 | train_psnr=23.85 dB | val_loss=0.0067 | val_psnr=25.13 dB | time=1.7s
[Epoch 036] train_loss=0.0098 | train_psnr=23.94 dB | val_loss=0.0066 | val_psnr=25.10 dB | time=1.7s
[Epoch 037] train_loss=0.0096 | train_psnr=24.01 dB | val_loss=0.0064 | val_psnr=25.53 dB | time=1.7s
[Epoch 038] train_loss=0.0094 | train_psnr=24.17 dB | val_loss=0.0062 | val_psnr=25.45 dB | time=1.7s
[Epoch 039] train_loss=0.0093 | train_psnr=24.27 dB | val_loss=0.0061 | val_psnr=25.55 dB | time=1.5s
[Epoch 040] train_loss=0.0090 | train_psnr=24.37 dB | val_loss=0.0059 | val_psnr=25.81 dB | time=1.7s
[Epoch 041] train_loss=0.0086 | train_psnr=24.51 dB | val_loss=0.0058 | val_psnr=25.94 dB | time=1.6s
[Epoch 042] train_loss=0.0086 | train_psnr=24.57 dB | val_loss=0.0057 | val_psnr=26.08 dB | time=1.6s
[Epoch 043] train_loss=0.0084 | train_psnr=24.66 dB | val_loss=0.0056 | val_psnr=26.13 dB | time=1.6s
[Epoch 044] train_loss=0.0082 | train_psnr=24.81 dB | val_loss=0.0054 | val_psnr=26.22 dB | time=1.7s
[Epoch 045] train_loss=0.0082 | train_psnr=24.76 dB | val_loss=0.0054 | val_psnr=26.38 dB | time=1.6s
[Epoch 046] train_loss=0.0078 | train_psnr=25.04 dB | val_loss=0.0053 | val_psnr=26.44 dB | time=1.7s
[Epoch 047] train_loss=0.0076 | train_psnr=25.13 dB | val_loss=0.0051 | val_psnr=26.55 dB | time=2.0s
[Epoch 048] train_loss=0.0076 | train_psnr=25.21 dB | val_loss=0.0051 | val_psnr=26.42 dB | time=2.3s
[Epoch 049] train_loss=0.0074 | train_psnr=25.32 dB | val_loss=0.0051 | val_psnr=26.06 dB | time=2.2s
[Epoch 050] train_loss=0.0075 | train_psnr=25.29 dB | val_loss=0.0049 | val_psnr=26.74 dB | time=2.3s
[Epoch 051] train_loss=0.0072 | train_psnr=25.45 dB | val_loss=0.0048 | val_psnr=26.78 dB | time=2.4s
[Epoch 052] train_loss=0.0070 | train_psnr=25.55 dB | val_loss=0.0047 | val_psnr=26.82 dB | time=2.1s
[Epoch 053] train_loss=0.0070 | train_psnr=25.58 dB | val_loss=0.0047 | val_psnr=26.76 dB | time=2.1s
[Epoch 054] train_loss=0.0069 | train_psnr=25.63 dB | val_loss=0.0045 | val_psnr=27.04 dB | time=2.1s
[Epoch 055] train_loss=0.0067 | train_psnr=25.80 dB | val_loss=0.0046 | val_psnr=26.72 dB | time=2.1s
[Epoch 056] train_loss=0.0066 | train_psnr=25.78 dB | val_loss=0.0044 | val_psnr=27.23 dB | time=2.1s
[Epoch 057] train_loss=0.0065 | train_psnr=25.87 dB | val_loss=0.0043 | val_psnr=27.25 dB | time=2.2s
[Epoch 058] train_loss=0.0064 | train_psnr=26.03 dB | val_loss=0.0043 | val_psnr=27.21 dB | time=2.3s
