====================
Model: FSRCNN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.2160 | train_psnr=8.72 dB | val_loss=0.0415 | val_psnr=19.95 dB | time=2.7s
[Epoch 002] train_loss=0.0579 | train_psnr=17.08 dB | val_loss=0.0227 | val_psnr=19.66 dB | time=1.8s
[Epoch 003] train_loss=0.0447 | train_psnr=19.03 dB | val_loss=0.0192 | val_psnr=20.93 dB | time=1.8s
[Epoch 004] train_loss=0.0408 | train_psnr=19.48 dB | val_loss=0.0184 | val_psnr=21.02 dB | time=1.9s
[Epoch 005] train_loss=0.0391 | train_psnr=19.64 dB | val_loss=0.0174 | val_psnr=21.21 dB | time=1.9s
[Epoch 006] train_loss=0.0355 | train_psnr=20.01 dB | val_loss=0.0161 | val_psnr=21.39 dB | time=1.9s
[Epoch 007] train_loss=0.0317 | train_psnr=20.26 dB | val_loss=0.0140 | val_psnr=21.62 dB | time=1.8s
[Epoch 008] train_loss=0.0264 | train_psnr=20.46 dB | val_loss=0.0125 | val_psnr=21.83 dB | time=1.8s
[Epoch 009] train_loss=0.0219 | train_psnr=20.67 dB | val_loss=0.0119 | val_psnr=22.09 dB | time=1.8s
[Epoch 010] train_loss=0.0190 | train_psnr=20.96 dB | val_loss=0.0106 | val_psnr=22.55 dB | time=1.8s
[Epoch 011] train_loss=0.0164 | train_psnr=21.68 dB | val_loss=0.0096 | val_psnr=22.94 dB | time=1.8s
[Epoch 012] train_loss=0.0150 | train_psnr=22.03 dB | val_loss=0.0089 | val_psnr=23.23 dB | time=1.9s
[Epoch 013] train_loss=0.0138 | train_psnr=22.29 dB | val_loss=0.0083 | val_psnr=23.42 dB | time=1.9s
[Epoch 014] train_loss=0.0128 | train_psnr=22.55 dB | val_loss=0.0078 | val_psnr=23.77 dB | time=1.9s
[Epoch 015] train_loss=0.0120 | train_psnr=22.75 dB | val_loss=0.0074 | val_psnr=23.94 dB | time=1.8s
[Epoch 016] train_loss=0.0114 | train_psnr=22.98 dB | val_loss=0.0070 | val_psnr=24.17 dB | time=1.8s
[Epoch 017] train_loss=0.0108 | train_psnr=23.22 dB | val_loss=0.0068 | val_psnr=24.29 dB | time=1.9s
[Epoch 018] train_loss=0.0106 | train_psnr=23.20 dB | val_loss=0.0066 | val_psnr=24.34 dB | time=1.8s
[Epoch 019] train_loss=0.0099 | train_psnr=23.47 dB | val_loss=0.0063 | val_psnr=24.65 dB | time=1.9s
[Epoch 020] train_loss=0.0094 | train_psnr=23.61 dB | val_loss=0.0060 | val_psnr=24.81 dB | time=1.8s
[Epoch 021] train_loss=0.0090 | train_psnr=23.85 dB | val_loss=0.0058 | val_psnr=24.87 dB | time=1.8s
[Epoch 022] train_loss=0.0085 | train_psnr=24.04 dB | val_loss=0.0056 | val_psnr=25.14 dB | time=1.9s
[Epoch 023] train_loss=0.0083 | train_psnr=24.26 dB | val_loss=0.0054 | val_psnr=25.35 dB | time=1.8s
[Epoch 024] train_loss=0.0078 | train_psnr=24.44 dB | val_loss=0.0052 | val_psnr=25.69 dB | time=1.8s
[Epoch 025] train_loss=0.0076 | train_psnr=24.63 dB | val_loss=0.0050 | val_psnr=25.88 dB | time=1.9s
[Epoch 026] train_loss=0.0074 | train_psnr=24.81 dB | val_loss=0.0048 | val_psnr=26.05 dB | time=1.8s
[Epoch 027] train_loss=0.0071 | train_psnr=24.99 dB | val_loss=0.0046 | val_psnr=26.29 dB | time=1.8s
[Epoch 028] train_loss=0.0067 | train_psnr=25.30 dB | val_loss=0.0044 | val_psnr=26.40 dB | time=1.9s
[Epoch 029] train_loss=0.0064 | train_psnr=25.52 dB | val_loss=0.0043 | val_psnr=26.70 dB | time=1.8s
[Epoch 030] train_loss=0.0063 | train_psnr=25.61 dB | val_loss=0.0041 | val_psnr=26.89 dB | time=1.9s
[Epoch 031] train_loss=0.0059 | train_psnr=25.90 dB | val_loss=0.0040 | val_psnr=27.05 dB | time=1.8s
[Epoch 032] train_loss=0.0058 | train_psnr=26.18 dB | val_loss=0.0038 | val_psnr=27.22 dB | time=1.8s
[Epoch 033] train_loss=0.0057 | train_psnr=26.29 dB | val_loss=0.0037 | val_psnr=27.37 dB | time=1.9s
[Epoch 034] train_loss=0.0055 | train_psnr=26.42 dB | val_loss=0.0036 | val_psnr=27.60 dB | time=1.8s
[Epoch 035] train_loss=0.0054 | train_psnr=26.55 dB | val_loss=0.0035 | val_psnr=27.78 dB | time=1.8s
[Epoch 036] train_loss=0.0053 | train_psnr=26.59 dB | val_loss=0.0033 | val_psnr=27.86 dB | time=1.8s
[Epoch 037] train_loss=0.0052 | train_psnr=26.85 dB | val_loss=0.0032 | val_psnr=28.08 dB | time=1.8s
[Epoch 038] train_loss=0.0051 | train_psnr=26.91 dB | val_loss=0.0032 | val_psnr=28.20 dB | time=1.8s
