====================
Model: IMDN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.1722 | train_psnr=10.16 dB | val_loss=0.0587 | val_psnr=13.80 dB | time=3.5s
[Epoch 002] train_loss=0.0515 | train_psnr=17.88 dB | val_loss=0.0265 | val_psnr=17.81 dB | time=2.9s
[Epoch 003] train_loss=0.0405 | train_psnr=19.23 dB | val_loss=0.0189 | val_psnr=19.79 dB | time=3.0s
[Epoch 004] train_loss=0.0318 | train_psnr=19.84 dB | val_loss=0.0159 | val_psnr=21.01 dB | time=2.5s
[Epoch 005] train_loss=0.0255 | train_psnr=20.75 dB | val_loss=0.0126 | val_psnr=21.97 dB | time=2.6s
[Epoch 006] train_loss=0.0210 | train_psnr=21.19 dB | val_loss=0.0107 | val_psnr=22.44 dB | time=2.4s
[Epoch 007] train_loss=0.0167 | train_psnr=21.83 dB | val_loss=0.0085 | val_psnr=23.39 dB | time=2.6s
[Epoch 008] train_loss=0.0135 | train_psnr=22.56 dB | val_loss=0.0075 | val_psnr=23.81 dB | time=2.6s
[Epoch 009] train_loss=0.0113 | train_psnr=23.08 dB | val_loss=0.0067 | val_psnr=24.13 dB | time=2.5s
[Epoch 010] train_loss=0.0103 | train_psnr=23.27 dB | val_loss=0.0061 | val_psnr=24.50 dB | time=2.5s
[Epoch 011] train_loss=0.0090 | train_psnr=23.91 dB | val_loss=0.0057 | val_psnr=24.71 dB | time=2.4s
[Epoch 012] train_loss=0.0082 | train_psnr=24.23 dB | val_loss=0.0053 | val_psnr=25.02 dB | time=2.4s
[Epoch 013] train_loss=0.0077 | train_psnr=24.54 dB | val_loss=0.0050 | val_psnr=25.26 dB | time=2.5s
[Epoch 014] train_loss=0.0072 | train_psnr=24.91 dB | val_loss=0.0048 | val_psnr=25.53 dB | time=2.5s
[Epoch 015] train_loss=0.0068 | train_psnr=25.15 dB | val_loss=0.0046 | val_psnr=25.74 dB | time=2.5s
[Epoch 016] train_loss=0.0064 | train_psnr=25.33 dB | val_loss=0.0044 | val_psnr=25.91 dB | time=2.1s
[Epoch 017] train_loss=0.0063 | train_psnr=25.51 dB | val_loss=0.0042 | val_psnr=26.04 dB | time=2.0s
[Epoch 018] train_loss=0.0061 | train_psnr=25.59 dB | val_loss=0.0041 | val_psnr=26.30 dB | time=2.5s
[Epoch 019] train_loss=0.0059 | train_psnr=25.81 dB | val_loss=0.0039 | val_psnr=26.45 dB | time=2.5s
[Epoch 020] train_loss=0.0055 | train_psnr=25.96 dB | val_loss=0.0038 | val_psnr=26.61 dB | time=2.5s
[Epoch 021] train_loss=0.0055 | train_psnr=25.95 dB | val_loss=0.0037 | val_psnr=26.77 dB | time=2.5s
[Epoch 022] train_loss=0.0053 | train_psnr=26.08 dB | val_loss=0.0036 | val_psnr=26.71 dB | time=2.5s
[Epoch 023] train_loss=0.0051 | train_psnr=26.32 dB | val_loss=0.0036 | val_psnr=26.83 dB | time=2.5s
[Epoch 024] train_loss=0.0050 | train_psnr=26.38 dB | val_loss=0.0034 | val_psnr=27.07 dB | time=2.5s
[Epoch 025] train_loss=0.0049 | train_psnr=26.39 dB | val_loss=0.0033 | val_psnr=27.11 dB | time=2.5s
[Epoch 026] train_loss=0.0047 | train_psnr=26.62 dB | val_loss=0.0033 | val_psnr=27.24 dB | time=2.5s
[Epoch 027] train_loss=0.0048 | train_psnr=26.63 dB | val_loss=0.0032 | val_psnr=27.26 dB | time=2.3s
[Epoch 028] train_loss=0.0046 | train_psnr=26.80 dB | val_loss=0.0032 | val_psnr=27.35 dB | time=2.6s
[Epoch 029] train_loss=0.0044 | train_psnr=26.67 dB | val_loss=0.0031 | val_psnr=27.46 dB | time=2.5s
[Epoch 030] train_loss=0.0045 | train_psnr=26.81 dB | val_loss=0.0031 | val_psnr=27.52 dB | time=2.3s
[Epoch 031] train_loss=0.0044 | train_psnr=26.79 dB | val_loss=0.0030 | val_psnr=27.58 dB | time=2.4s
[Epoch 032] train_loss=0.0044 | train_psnr=26.85 dB | val_loss=0.0030 | val_psnr=27.57 dB | time=2.5s
[Epoch 033] train_loss=0.0044 | train_psnr=26.89 dB | val_loss=0.0030 | val_psnr=27.69 dB | time=2.1s
[Epoch 034] train_loss=0.0043 | train_psnr=26.72 dB | val_loss=0.0030 | val_psnr=27.70 dB | time=2.3s
[Epoch 035] train_loss=0.0043 | train_psnr=26.99 dB | val_loss=0.0029 | val_psnr=27.69 dB | time=2.6s
[Epoch 036] train_loss=0.0041 | train_psnr=26.95 dB | val_loss=0.0028 | val_psnr=27.77 dB | time=2.5s
[Epoch 037] train_loss=0.0041 | train_psnr=27.03 dB | val_loss=0.0028 | val_psnr=27.85 dB | time=2.6s
[Epoch 038] train_loss=0.0040 | train_psnr=27.24 dB | val_loss=0.0028 | val_psnr=27.89 dB | time=2.5s
[Epoch 039] train_loss=0.0039 | train_psnr=27.24 dB | val_loss=0.0028 | val_psnr=27.87 dB | time=2.5s
[Epoch 040] train_loss=0.0039 | train_psnr=27.24 dB | val_loss=0.0027 | val_psnr=27.92 dB | time=2.5s
[Epoch 041] train_loss=0.0039 | train_psnr=27.24 dB | val_loss=0.0028 | val_psnr=28.00 dB | time=2.6s
[Epoch 042] train_loss=0.0039 | train_psnr=27.10 dB | val_loss=0.0027 | val_psnr=28.01 dB | time=2.5s
[Epoch 043] train_loss=0.0039 | train_psnr=27.32 dB | val_loss=0.0027 | val_psnr=28.00 dB | time=2.5s
[Epoch 044] train_loss=0.0038 | train_psnr=27.19 dB | val_loss=0.0027 | val_psnr=27.98 dB | time=2.5s
[Epoch 045] train_loss=0.0038 | train_psnr=27.10 dB | val_loss=0.0029 | val_psnr=27.53 dB | time=2.5s
[Epoch 046] train_loss=0.0039 | train_psnr=27.08 dB | val_loss=0.0026 | val_psnr=28.13 dB | time=2.5s
[Epoch 047] train_loss=0.0037 | train_psnr=27.35 dB | val_loss=0.0026 | val_psnr=28.14 dB | time=2.5s
[Epoch 048] train_loss=0.0037 | train_psnr=27.42 dB | val_loss=0.0026 | val_psnr=28.16 dB | time=2.6s
[Epoch 049] train_loss=0.0037 | train_psnr=27.39 dB | val_loss=0.0026 | val_psnr=28.19 dB | time=2.6s
[Epoch 050] train_loss=0.0035 | train_psnr=27.60 dB | val_loss=0.0026 | val_psnr=28.19 dB | time=2.5s
[Epoch 051] train_loss=0.0036 | train_psnr=27.46 dB | val_loss=0.0026 | val_psnr=28.22 dB | time=2.5s
[Epoch 052] train_loss=0.0036 | train_psnr=27.50 dB | val_loss=0.0025 | val_psnr=28.20 dB | time=2.5s
[Epoch 053] train_loss=0.0036 | train_psnr=27.42 dB | val_loss=0.0025 | val_psnr=28.24 dB | time=2.5s
[Epoch 054] train_loss=0.0035 | train_psnr=27.59 dB | val_loss=0.0025 | val_psnr=28.23 dB | time=2.5s
[Epoch 055] train_loss=0.0036 | train_psnr=27.47 dB | val_loss=0.0026 | val_psnr=28.17 dB | time=2.5s
[Epoch 056] train_loss=0.0036 | train_psnr=27.35 dB | val_loss=0.0026 | val_psnr=27.96 dB | time=2.6s
[Epoch 057] train_loss=0.0035 | train_psnr=27.53 dB | val_loss=0.0026 | val_psnr=28.19 dB | time=2.6s
[Epoch 058] train_loss=0.0035 | train_psnr=27.53 dB | val_loss=0.0025 | val_psnr=28.28 dB | time=2.5s
