====================
Model: SRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.2782 | train_psnr=6.38 dB | val_loss=0.2172 | val_psnr=7.03 dB | time=2.5s
[Epoch 002] train_loss=0.2404 | train_psnr=7.10 dB | val_loss=0.1761 | val_psnr=8.06 dB | time=1.7s
[Epoch 003] train_loss=0.1872 | train_psnr=8.52 dB | val_loss=0.1244 | val_psnr=9.83 dB | time=1.7s
[Epoch 004] train_loss=0.1282 | train_psnr=10.85 dB | val_loss=0.0684 | val_psnr=13.22 dB | time=1.8s
[Epoch 005] train_loss=0.0722 | train_psnr=15.66 dB | val_loss=0.0291 | val_psnr=20.81 dB | time=1.8s
[Epoch 006] train_loss=0.0432 | train_psnr=21.45 dB | val_loss=0.0216 | val_psnr=21.22 dB | time=1.8s
[Epoch 007] train_loss=0.0375 | train_psnr=20.85 dB | val_loss=0.0163 | val_psnr=21.72 dB | time=1.8s
[Epoch 008] train_loss=0.0338 | train_psnr=21.77 dB | val_loss=0.0146 | val_psnr=22.78 dB | time=1.8s
[Epoch 009] train_loss=0.0333 | train_psnr=22.17 dB | val_loss=0.0141 | val_psnr=22.87 dB | time=1.8s
[Epoch 010] train_loss=0.0306 | train_psnr=22.18 dB | val_loss=0.0137 | val_psnr=22.76 dB | time=1.8s
[Epoch 011] train_loss=0.0294 | train_psnr=22.22 dB | val_loss=0.0131 | val_psnr=22.89 dB | time=1.8s
[Epoch 012] train_loss=0.0280 | train_psnr=22.36 dB | val_loss=0.0123 | val_psnr=23.08 dB | time=1.9s
[Epoch 013] train_loss=0.0257 | train_psnr=22.64 dB | val_loss=0.0116 | val_psnr=23.21 dB | time=1.8s
[Epoch 014] train_loss=0.0241 | train_psnr=22.60 dB | val_loss=0.0108 | val_psnr=23.26 dB | time=1.7s
[Epoch 015] train_loss=0.0215 | train_psnr=22.60 dB | val_loss=0.0100 | val_psnr=23.46 dB | time=1.9s
[Epoch 016] train_loss=0.0198 | train_psnr=22.74 dB | val_loss=0.0092 | val_psnr=23.57 dB | time=1.8s
[Epoch 017] train_loss=0.0174 | train_psnr=22.88 dB | val_loss=0.0086 | val_psnr=23.75 dB | time=1.8s
[Epoch 018] train_loss=0.0159 | train_psnr=23.17 dB | val_loss=0.0080 | val_psnr=23.99 dB | time=1.8s
[Epoch 019] train_loss=0.0146 | train_psnr=23.41 dB | val_loss=0.0075 | val_psnr=24.28 dB | time=1.8s
[Epoch 020] train_loss=0.0135 | train_psnr=23.63 dB | val_loss=0.0071 | val_psnr=24.48 dB | time=1.9s
[Epoch 021] train_loss=0.0125 | train_psnr=23.89 dB | val_loss=0.0067 | val_psnr=24.70 dB | time=1.8s
[Epoch 022] train_loss=0.0115 | train_psnr=24.14 dB | val_loss=0.0063 | val_psnr=24.94 dB | time=1.8s
[Epoch 023] train_loss=0.0108 | train_psnr=24.43 dB | val_loss=0.0060 | val_psnr=25.06 dB | time=1.8s
[Epoch 024] train_loss=0.0101 | train_psnr=24.73 dB | val_loss=0.0057 | val_psnr=25.37 dB | time=1.8s
[Epoch 025] train_loss=0.0096 | train_psnr=24.65 dB | val_loss=0.0054 | val_psnr=25.52 dB | time=1.8s
[Epoch 026] train_loss=0.0091 | train_psnr=25.02 dB | val_loss=0.0052 | val_psnr=25.67 dB | time=1.9s
[Epoch 027] train_loss=0.0088 | train_psnr=25.18 dB | val_loss=0.0050 | val_psnr=25.81 dB | time=1.9s
[Epoch 028] train_loss=0.0085 | train_psnr=25.32 dB | val_loss=0.0048 | val_psnr=25.97 dB | time=1.8s
[Epoch 029] train_loss=0.0080 | train_psnr=25.52 dB | val_loss=0.0046 | val_psnr=26.12 dB | time=1.8s
[Epoch 030] train_loss=0.0077 | train_psnr=25.71 dB | val_loss=0.0044 | val_psnr=26.29 dB | time=1.8s
[Epoch 031] train_loss=0.0075 | train_psnr=25.83 dB | val_loss=0.0043 | val_psnr=26.42 dB | time=1.8s
[Epoch 032] train_loss=0.0072 | train_psnr=25.88 dB | val_loss=0.0042 | val_psnr=26.50 dB | time=1.8s
[Epoch 033] train_loss=0.0071 | train_psnr=25.81 dB | val_loss=0.0041 | val_psnr=26.56 dB | time=1.9s
[Epoch 034] train_loss=0.0069 | train_psnr=25.83 dB | val_loss=0.0040 | val_psnr=26.69 dB | time=1.9s
[Epoch 035] train_loss=0.0068 | train_psnr=25.84 dB | val_loss=0.0039 | val_psnr=26.67 dB | time=1.7s
[Epoch 036] train_loss=0.0066 | train_psnr=25.88 dB | val_loss=0.0038 | val_psnr=26.85 dB | time=1.9s
[Epoch 037] train_loss=0.0064 | train_psnr=25.99 dB | val_loss=0.0037 | val_psnr=26.93 dB | time=1.8s
[Epoch 038] train_loss=0.0063 | train_psnr=26.12 dB | val_loss=0.0037 | val_psnr=27.06 dB | time=1.8s
[Epoch 039] train_loss=0.0062 | train_psnr=26.17 dB | val_loss=0.0036 | val_psnr=27.03 dB | time=1.8s
[Epoch 040] train_loss=0.0062 | train_psnr=26.17 dB | val_loss=0.0036 | val_psnr=27.02 dB | time=1.9s
[Epoch 041] train_loss=0.0061 | train_psnr=26.14 dB | val_loss=0.0035 | val_psnr=27.22 dB | time=1.8s
[Epoch 042] train_loss=0.0060 | train_psnr=26.24 dB | val_loss=0.0035 | val_psnr=27.12 dB | time=1.8s
[Epoch 043] train_loss=0.0059 | train_psnr=26.29 dB | val_loss=0.0034 | val_psnr=27.23 dB | time=1.8s
[Epoch 044] train_loss=0.0058 | train_psnr=26.37 dB | val_loss=0.0034 | val_psnr=27.30 dB | time=1.9s
[Epoch 045] train_loss=0.0057 | train_psnr=26.44 dB | val_loss=0.0034 | val_psnr=27.25 dB | time=1.8s
[Epoch 046] train_loss=0.0056 | train_psnr=26.58 dB | val_loss=0.0033 | val_psnr=27.46 dB | time=1.8s
[Epoch 047] train_loss=0.0056 | train_psnr=26.40 dB | val_loss=0.0033 | val_psnr=27.39 dB | time=1.8s
[Epoch 048] train_loss=0.0056 | train_psnr=26.43 dB | val_loss=0.0033 | val_psnr=27.46 dB | time=1.9s
[Epoch 049] train_loss=0.0055 | train_psnr=26.48 dB | val_loss=0.0032 | val_psnr=27.59 dB | time=1.8s
[Epoch 050] train_loss=0.0054 | train_psnr=26.58 dB | val_loss=0.0032 | val_psnr=27.46 dB | time=1.9s
